"Actinoptychus";"Asterionellopsis";"Coscinodiscus";"Dinophysis";"Ditylum";"Navicula";"Paralia";"Pleurosigma";"Thalassiosira";"Asterionella";"Bacillaria";"Biddulphia";"Chaetoceros";"Guinardia";"Melosira";"Nitzschia";"Odontella";"Plagiogramma";"Prorocentrum";"Rhaphoneis";"Rhizosolenia";"Skeletonema";"Thalassionema";"Trieres";"Lauderia";"Leptocylindrus";"Meuniera";"Protoperidinium";"Cerataulina";"Dactyliosolen";"Gyrodinium";"Phaeocystis";"Pseudo-nitzschia";"Eucampia";"Diploneis";"Gymnodinium";"Akashiwo";"Diplopsalis";"Euglenoidea";"Trigonium";"Helicotheca";"Dictyocha";"Porosira";"Scenedesmus";"Scrippsiella";"Katodinium";"Torodinium";"Ciliophora.x";"Heterocapsa";"Amphidinium";"Pennées";"Cryptophyceae.x";"Peridiniales";"Mesodinium";"Alexandrium";"Chlorophyceae";"Licmophora";"Lithodesmium";"Polykrikos";"Gonyaulax";"Pyramimonas";"Heterosigma";"Dinoflagellata.x";"Brockmanniella";"Karlodinium";"Delphineis";"Eutreptiella";"Bacillariaceae";"Cylindrotheca";"Naviculaceae";"Gymnodiniales";"Centriques";"Gymnodiniaceae";"Euglenaceae";"Thalassiosiraceae";"Dinophyceae.x";"Euglenia";"Plagiolemma"
1;0;0;0;0;0,0559281941716363;0,112843361463075;0;0;0;0;0;0;0;0;0;0,0814414446392069;0;0;0;0;0,0522254077933263;0;0;0,0673428505081203;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0645304212037618;0;0,181543990339625;0;0;0;0;0;0;0;0;0;0;0,159553422600075;0;0;0;0;0,216268284093762;0,0613836680161568;0,0837335249573549;0,240725776576755;0;0;0,10303745445528;0,0481899996954591;0,186967119474927;0,188628563309032
0;1;0;0;0,0873423790508344;0,156650242395074;0,163233256421387;0,211298923072643;0,153768624274971;0,0517350874286881;0,123700268528172;0,270884314783123;0,179300996941572;0,148134975062899;0;0,202660402276673;0,142102350926737;0,0602699843387575;0,0845136944534396;0,34995158541593;0,238718867307297;0;0,183963090010658;0,292743667505022;0,109322480664915;0;0,102305624995333;0,204588809467713;0;0,0862427124582414;0,286493086181076;0,238532665259017;0,274855036630472;0;0,129006510230322;0,194249921703801;0;0;0;0,0872280841525458;0,119038332485551;0;0,0930683165938713;0,071634347870264;0;0,153655927991681;0;0,290659178370925;0;0,141185078649679;0;0,301750658391314;0;0,0730676185590284;0;0,0886850417194536;0;0;0;0;0;0,0623577096720948;0;0,0763894844456614;0,145473263630387;0,153688775859077;0,199416582601956;0;0;0;0,096740941267826;0;0;0;0;0;0;0
0;0;1;0;0,0516609802458198;0,166254018114156;0,178040435707828;0,0592585295683514;0,0579269985725902;0;0;0,169745210089126;0;0;0;0;0,13504085659222;0;0;0,140746325845739;0;0;0;0,0931127276765804;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,185914282674678;0,0509194637793083;0,0972949540644637;0,104602534734281;0;0;0,0726308796960443;0;0;0;0;0,100618158606965;0,129479600504653;0,0493564406662415;0;0;0;0,0709423959088655;0;0;0;0;0;0;0,15110915212;0;0,131442391427243;0,0863388591769676;0;0;0;0,116681783825776;0;0;0;0;0;0,0655823488847964;0
0;0;0;1;0,117750752794894;0;0;0;0;0;0;0;0,198757163561422;0,050091740860262;0,0857948054443697;0;0;0;0,398744884560884;0;0;0;0;0;0;0,29919639250533;0;0,137146829702944;0;0,162789302683422;0;0;0,0817589853555008;0,272673720078747;0;0;0,213221238927599;0,164632558852186;0,0694173510499323;0;0;0;0;0;0,39205151482512;0;0;0;0,101922120213687;0;0;0;0,149378990892099;0,0872483858925127;0,212570469125545;0;0;0,320896982033777;0,117442772074666;0,283073686676691;0,233576108629045;0;0,0835056039673505;0;0;0;0;0,0702458056857961;0,113085019417852;0,102067266298665;0;0;0,185540239001109;0,0908578342959194;0,0777746449457111;0,0488324999166749;0,184031254263327;0,0849515945309191
0;0,0873423790508344;0,0516609802458198;0,117750752794894;1;0;0;0,0753686681163373;0,399435620416089;0,0618115709814223;0,0624507522021268;0;0,364805174560074;0;0,0495182782596627;0,145076074561532;0;0;0;0;0,139067414258177;0,248173273621254;0,334243470506404;0,0801592462610832;0,335261304028128;0;0;0;0;0,126273989231795;0,0803028400367855;0,0743787663885068;0,213996143870369;0,161693152502164;0;0,0537118581589041;0;0,210363037727275;0;0;0;0;0,109554513223217;0,0575706934933761;0,133519195041398;0;0;0;0,127225290070953;0;0;0;0,0685276261934167;0;0,10088163478853;0;0;0,0904934360306143;0;0,194952068043153;0;0;0;0;0;0;0;0,0619676068790019;0;0;0;0;0;0;0;0,0523721863177582;0;0
0,0559281941716363;0,156650242395074;0,166254018114156;0;0;1;0,337002230086869;0,190639712838793;0;0;0;0,284961902652563;0,0567702419298388;0,198768826309623;0;0,0635384132296948;0,170123561167702;0;0,132520862988807;0,353024534355561;0,0759311368980603;0;0;0,0720235487611844;0;0,117453684300731;0,160155404899432;0,203640031876383;0,0773988060996678;0;0,179827173871493;0;0;0;0,195029269350449;0,151992591869864;0;0;0,0904818828177459;0,21808397795159;0,0740349989222734;0,186553181305432;0;0;0;0,222769871761203;0,124928704723654;0,215904691274509;0,092880870156577;0,158543929351023;0,185603667093781;0,414184913941601;0;0;0;0,073254174302497;0,074204568897234;0;0,115158915169945;0;0;0;0;0,174267860633451;0,124778229739117;0,338197286792853;0,357660431981074;0;0;0;0,298444400563144;0;0;0;0;0;0;0
0,112843361463075;0,163233256421387;0,178040435707828;0;0;0,337002230086869;1;0,135320297860579;0,147481438690604;0;0,138308375758364;0,369147729342124;0;0,0542361411691298;0;0;0,286547416682268;0,115986827199256;0;0,470591403278964;0;0;0,151720652135584;0,16922493899031;0,0894995237532349;0;0,121302571078246;0;0;0;0,053348502792495;0,0755644432135443;0;0;0,188296146674277;0;0;0;0;0,249533754024434;0,119396791974615;0,153888537876532;0,118845449214465;0;0;0,162639494526188;0,124719887370456;0,19040842209996;0;0,0763301378164741;0,175034810881677;0,30007938540328;0;0;0;0,0956198371719888;0;0;0;0;0;0;0;0,319892013727579;0,0950523255537112;0,374621596316865;0,254018929048414;0;0;0;0,188412409473636;0;0;0;0;0;0;0
0;0,211298923072643;0,0592585295683514;0;0,0753686681163373;0,190639712838793;0,135320297860579;1;0,11151850001525;0;0;0,196003234164752;0,326401562546858;0,244841284945279;0;0,100829216999933;0,0630513638968905;0;0,276393426501038;0,224052936973166;0,197967965048218;0,048448109019162;0,248112575171176;0,126359565273176;0,0554905632933034;0,214517880286184;0,065777774860538;0,244248691595449;0,16305254800349;0,196243335553529;0,179757170182913;0;0,278276012340984;0,120651173390142;0,146242479395729;0,133868045024596;0;0,159253158141187;0;0,127744065234414;0;0;0;0;0,134668251398331;0,185555953476058;0,153956754533535;0,240870479780821;0,0929698544355434;0,0933556850551943;0,0851408482402512;0,199413032208752;0;0,0870661274101771;0,0831743763238778;0;0,0673502054984455;0,0674313760993838;0,163250487879172;0;0;0;0;0,0864007746777667;0,134268674737556;0,162255008296969;0,169985623223512;0;0,0553828571672911;0;0,156049356870969;0;0;0;0;0;0;0
0;0,153768624274971;0,0579269985725902;0;0,399435620416089;0;0,147481438690604;0,11151850001525;1;0,139477181755389;0,115062784910906;0,107699602020556;0,169941404742363;0;0;0,161541835047831;0,180567551767431;0,0990059151353993;0;0,121179801367784;0;0,463105620265655;0,278526889537529;0,143998241672858;0,391015484956973;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,104411706641989;0;0,221450186227221;0,179329633901133;0;0;0;0,0509257350748509;0,119434036067484;0,148738624711028;0,0650893334587309;0,0516376112492447;0,117232312597769;0;0;0;0;0;0;0;0;0;0,0775214195054063;0;0,188658916531567;0;0,179660852623194;0,0873893426916791;0;0,0748044486405918;0;0;0;0;0;0;0;0;0
0;0,0517350874286881;0;0;0,0618115709814223;0;0;0;0,139477181755389;1;0;0,0871783483062489;0;0;0;0,0563808133337526;0,0630259616863017;0;0;0,0527904628152515;0;0,11142932979084;0;0,132153923949443;0,0730095312475977;0;0;0;0;0;0;0;0;0;0;0,0543312313089967;0;0;0,125306921949251;0;0;0,0890157460945292;0,069030200236643;0,113678859645573;0;0;0;0;0,0488077424196332;0,0825323194013447;0,0675052547505137;0,059239593037219;0;0;0;0,100294650767916;0;0;0;0;0;0;0;0,0869989421402616;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0,123700268528172;0;0;0,0624507522021268;0;0,138308375758364;0;0,115062784910906;0;1;0,0803018850891091;0;0;0;0;0,13355076725711;0;0;0,0926672579387727;0;0,0732435682484917;0,0785024503394794;0;0,107115560785724;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,12193382610519;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,13548504966944;0;0,0525289158796834;0;0;0,0909131483271607;0;0;0;0;0;0,0654516324251857;0;0;0
0;0,270884314783123;0,169745210089126;0;0;0,284961902652563;0,369147729342124;0,196003234164752;0,107699602020556;0,0871783483062489;0,0803018850891091;1;0,0574160583941019;0,105111541329754;0;0,0537741636153574;0,305007505598779;0,0827710983885067;0;0,598033966893791;0,166478139737108;0;0,0626018619134368;0,266831339634889;0,0614747212078286;0;0,0859218136021973;0,167808417342542;0;0;0,182280025860761;0,201059322810936;0,0985364248423798;0;0,147201393183768;0,0678367414494743;0;0;0;0,151400527498257;0,0627187068661463;0,0945388605735091;0,0674338223879155;0;0;0,0982231050252749;0;0,300644789952932;0;0,13795535612759;0;0,33207052519738;0;0;0;0,0899838557750278;0;0;0,0643804928760539;0;0;0;0;0,181993526930944;0,0861316983423117;0,254700950183555;0,243597254070738;0;0;0;0,204785995729534;0;0;0;0;0;0;0
0;0,179300996941572;0;0,198757163561422;0,364805174560074;0,0567702419298388;0;0,326401562546858;0,169941404742363;0;0;0,0574160583941019;1;0,357237742786406;0;0,141758061214381;0;0;0,41528973759852;0,0565636691533163;0,31104674342547;0;0,28344392713026;0;0,171077919099797;0,363482426184612;0,0571178164070823;0,336876955311149;0,305927088330188;0,309977121208489;0,302267716761278;0;0,437920283967256;0,284302428312417;0,0522483076734935;0,138612021558797;0;0,210218519500991;0;0,0645276169514271;0;0,0487132307615924;0,052412793738713;0;0,299262214906134;0,212794093376789;0,121803922549609;0,218207880780764;0,225423373122706;0,135033205683205;0;0,202070746595718;0;0,118202683297474;0,147852624506803;0;0,0789013066529104;0,102665095075656;0,248796151810132;0,22258068666393;0;0;0;0;0,0769849904766294;0,103888392481089;0,139095974524454;0;0;0;0,132997441749559;0;0;0;0;0;0;0
0;0,148134975062899;0;0,050091740860262;0;0,198768826309623;0,0542361411691298;0,244841284945279;0;0;0;0,105111541329754;0,357237742786406;1;0;0;0;0;0,305846018377952;0,221739567268841;0,538791964028157;0;0,119810956010733;0;0,0802739090537207;0,437118122282943;0,214060480555098;0,403107701337094;0,439791899178627;0,349269395380497;0,40957939756663;0,238002003293907;0,476541597579816;0,251192631912072;0,174172961839961;0,185386542413966;0,0544652145579599;0,154743779379967;0;0,115938345199679;0;0;0;0;0,1120647663554;0,343194353420126;0,172373532016021;0,345701297332069;0,124923966738067;0,152459440853595;0,0743933174848607;0,343035078058285;0;0,13037897821195;0,0515683245646018;0,0917237774497474;0,125760113599208;0;0,199882580466108;0,0681891912731916;0,0783973807095041;0;0;0;0,172307223970669;0,172306922543038;0,224149034735522;0;0;0;0,200344824718326;0;0;0;0;0;0;0
0;0;0;0,0857948054443697;0,0495182782596627;0;0;0;0;0;0;0;0;0;1;0,11072372287091;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0488811704527882;0;0,118525525313012;0;0;0,135484596883917;0;0;0;0;0;0,0564200801105796;0;0;0;0;0,0938591145387773;0;0;0;0;0;0;0;0;0;0;0;0;0,0585250294805507;0;0;0;0;0;0;0;0;0;0;0,0787033142421218;0;0;0;0
0;0,202660402276673;0;0;0,145076074561532;0,0635384132296948;0;0,100829216999933;0,161541835047831;0,0563808133337526;0;0,0537741636153574;0,141758061214381;0;0,11072372287091;1;0;0,189878988012029;0;0,126240829087948;0;0;0,106209074769359;0,184492594460571;0;0;0,0637791836273309;0;0;0;0,130549527076793;0;0;0;0,0986692606115904;0,376821922144893;0;0;0,250284945032943;0;0;0,0940545284608347;0;0,0853845933804976;0;0,0621587035848079;0;0,203803798437838;0;0,165017974496272;0;0,0752944773278216;0;0;0;0,125125887701596;0;0;0;0;0;0;0,151990582497696;0;0;0;0;0;0;0;0;0;0;0,182358606725647;0;0;0;0
0,0814414446392069;0,142102350926737;0,13504085659222;0;0;0,170123561167702;0,286547416682268;0,0630513638968905;0,180567551767431;0,0630259616863017;0,13355076725711;0,305007505598779;0;0;0;0;1;0,138546752457043;0;0,327233151813451;0;0,0758512150355081;0,0960214099810898;0,0491534346059702;0,0998325832424162;0;0;0;0;0;0;0;0;0;0,0641572602675696;0;0;0;0;0,20472413062942;0,103455269330365;0,0840962188489334;0;0;0;0,0599138155072964;0,0579725436671504;0,103827401745233;0;0;0,0623526927617201;0,202626135527477;0;0;0;0;0;0;0;0;0;0;0;0,237128810088128;0,0521955151014015;0,276015779220673;0,193796636788093;0;0,0491626622404635;0;0,237207340760778;0;0;0;0;0;0;0
