"Asterionellopsis";"Coscinodiscus";"Dinophysis";"Ditylum";"Navicula";"Paralia";"Pleurosigma";"Thalassiosira";"Biddulphia";"Chaetoceros";"Guinardia";"Melosira";"Nitzschia";"Odontella";"Prorocentrum";"Rhizosolenia";"Skeletonema";"Thalassionema";"Lauderia";"Leptocylindrus";"Protoperidinium";"Cerataulina";"Dactyliosolen";"Gyrodinium";"Pseudo-nitzschia";"Eucampia";"Diploneis";"Gymnodinium";"Akashiwo";"Diplopsalis";"Euglenoidea";"Dictyocha";"Synedra";"Scenedesmus";"Scrippsiella";"Tripos";"Katodinium";"Bacteriastrum";"Torodinium";"Heterocapsa";"Amphidinium";"Pennées";"Cryptophyceae.x";"Alexandrium";"Licmophora";"Lithodesmium";"Polykrikos";"Gonyaulax";"Ceratium";"Karenia";"Chrysochromulina";"Karlodinium";"Eutreptiella";"Euglena";"Peridinium";"Cylindrotheca";"Lingulodinium";"Actinocyclus";"Gymnodiniales";"Azadinium";"Proboscia";"Dinobryon";"Oxytoxum";"Peridiniella";"Archaeperidinium";"Protoceratium";"Phalacroma";"Achnanthes";"Eutreptiaceae";"Grammatophora";"Ebria";"Hemiaulus";"Prasinophyceae";"Lepidodinium";"Striatella";"Eutreptia";"Amphora";"Ostreopsis";"Thalassionemataceae";"Goniodoma";"Cocconeis";"Asteromphalus";"Entomoneis";"Oscillatoria";"Pronoctiluca";"Corythodinium";"Hermesinum";"Thalassiothrix";"Lioloma"
1;0,0734333557741823;0;0,19628847578028;0,070057461786903;0,0734426336853421;0,267525995923828;0,141706071149966;0,043662270702851;0,40526517739851;0,289896744840035;0,045073618878742;0,0659919752290867;0,0337539724843149;0,0329484970385037;0,222631385822249;0,286418410308563;0,249146137436258;0,14067275782257;0,185747076168863;0,136188700217522;0,212255763864915;0,351099162164475;0,0636158444078682;0,35213521271481;0,190272482015659;0,0673353350156637;0;0;0,0934375613067707;0,044558220032531;0,120405383572636;0;0,0876291047307124;0,147116133806324;0,0731098739696151;0;0,222825596417418;0;0;0;0,101564327581978;0;0;0;0;0;0;0,0430315551595828;0;0;0;0;0;0;0,099244199190446;0,0314937152080961;0;0;0;0,103864897580543;0,114916288852413;0;0;0;0;0;0,0549296049295496;0,038109504648885;0;0;0,229521416309534;0,037962534237047;0;0;0;0;0;0,0501864447437465;0;0;0,0585614553068751;0,126906974932527;0,0366825622668831;0;0;0;0;0,0377124454322291
0,0734333557741823;1;0;0,0375864975929211;0;0,040788165927811;0,106789623285844;0,0870376243398704;0;0,0657391826291253;0,0383170755099363;0,0386977251043726;0;0,0404605439128013;0;0,0805770622755767;0,0657768264028411;0,0806383474804107;0,0668708202283617;0,0430735666343725;0,0463078009823005;0,0366511493540903;0,0381256480516462;0,0474447798978084;0,0747546632891528;0,0535007330716085;0;0,0340592370209215;0;0,0553006404437629;0;0;0;0;0,0651986890100354;0,0482639232807608;0;0,0580899129940274;0;0;0;0;0;0;0;0,068061660459201;0,0399179013959683;0,062031945582953;0;0;0,0725590964755079;0,0379857051318176;0,0421779693706079;0;0;0,0861739268001499;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0391257815144785;0,0318447333864394;0;0;0;0,0310071284223698;0;0;0,0340791841158081;0;0,0368352555214631;0;0;0;0;0
0;0;1;0;0;0;0;0;0;0,0434789009644341;0;0;0;0;0,294519440010595;0;0;0;0;0;0,103246215658447;0,0392136690607108;0;0,156650990713939;0,0827583096698881;0;0;0,175041354057176;0,170073783052297;0,118811607173827;0;0;0;0;0,178172380439265;0,0832285754672394;0,0316712496686094;0;0;0,043594135375896;0,0576918898076023;0;0;0,201046010422869;0;0,0598570669940905;0,168756880857035;0,0596441231997821;0;0,0909617464524056;0;0,0344196301735099;0;0;0,0964482768915791;0,0305505025422659;0,0536790061328191;0;0;0;0,0679944973407274;0;0;0;0,0324659797682079;0,0325734331400537;0,0444882696842168;0;0,082666149098984;0;0,050257941520497;0;0;0,0397312406980291;0;0;0;0;0;0;0;0,0485658751250262;0,0356707784297511;0;0;0;0,0370376864339732;0,0308377232233544;0,0397103027727852
0,19628847578028;0,0375864975929211;0;1;0;0;0,0710626281610505;0,184155875677647;0,0344803645795203;0,193857289951321;0,147592862765134;0,0396172730680151;0;0,0325007659545244;0,048675181592775;0;0,193748079156656;0,0985647632887262;0,067208095298629;0,113727548013387;0,130364487211478;0;0,184575086482778;0,0340821803211987;0,15418880094881;0,123143455223576;0,0407284353427708;0;0;0,0707889991550123;0,0338956195085309;0,106265363422789;0;0,0764947289123792;0,102603586059122;0;0;0,089277817163595;0;0;0,0626393603084978;0;0;0;0,0503486881232328;0,075475103049313;0;0;0;0;0,0321066893901104;0;0,0386791301300188;0;0;0;0,0404401756402342;0,0620032525418485;0;0;0,142086417543333;0,0604732199984395;0;0;0,0462320773351801;0;0,0358700556071909;0,0622163283968279;0;0;0,0660141099851386;0,212280042582581;0,0458336173885501;0;0;0;0;0;0;0;0;0,040689097906606;0;0,0570251767280199;0;0;0;0;0
0,070057461786903;0;0;0;1;0;0,191044035101026;0;0,0759245672892538;0;0,0419187039182469;0,0546583646319411;0,266940966376186;0;0;0,123615368889544;0;0,0317733390048529;0,0362006429561039;0;0;0,0927009690123643;0;0;0;0,032408395505914;0;0,19233464373485;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0613108650828834;0,178745087806601;0;0;0;0;0;0;0;0;0;0,182987212264807;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,154589918348412;0;0;0;0;0,0633047833934721;0;0;0;0,0446502455670555;0;0,145619374608664;0;0;0,0373311628624387;0;0;0;0,0474547274692795;0
0,0734426336853421;0,040788165927811;0;0;0;1;0,169371027152245;0;0,035306055816835;0,0719272235059215;0,112858016364171;0;0;0;0;0,0892875426334308;0;0,0835822867806577;0,0842170653315508;0,0960323197880763;0,0346025337335087;0,0832157155909453;0,0966604487122877;0;0,0885136647170574;0,0319257131518457;0,0895959208518495;0;0;0,0355348562964751;0;0;0;0;0;0,046857040446895;0;0,121869017317774;0;0,0431182725278564;0;0,11796458437454;0;0;0;0,0519220848176026;0;0;0;0;0;0;0,0591043835076077;0,0480496164684379;0;0,178624912604951;0;0;0,0376375423219963;0;0,0873550673566465;0;0;0;0;0;0;0;0;0;0;0,0403739505872706;0;0;0;0;0,0406145132406842;0;0;0;0;0;0,119849648644485;0;0;0;0;0,0890722428526209;0,163686697427576
0,267525995923828;0,106789623285844;0;0,0710626281610505;0,191044035101026;0,169371027152245;1;0,11228527884913;0,105735274421492;0,242320172255893;0,21990715643475;0,0587279187068772;0,17593117631852;0,0659746215358028;0,073403951638126;0,219776289637997;0,109170375117187;0,204133419726363;0,0863649393646709;0,167221212518521;0,053387125201713;0,183173217022611;0,168769815530684;0,0397714604458814;0,230778496470494;0,0768484729947914;0,0939534405639703;0,104767461306908;0;0,0426842418187839;0;0,0457146801511373;0;0;0,0981109439236672;0,122770071989856;0;0,1455359565375;0;0;0;0,0733964720817595;0;0;0;0,126716273097587;0,0440950734598147;0;0,0568359946464864;0;0;0;0;0;0,0884254680396626;0,173631587599181;0;0,0411434459625978;0;0;0,0586983154215523;0;0;0;0;0;0,0532657339198155;0;0;0,0345560479056735;0,0556532247293578;0,101502867893254;0;0;0;0,0403725699295846;0;0;0,0565140058478503;0;0;0,128301325880729;0,0915274985365544;0;0;0;0,0892812393769075;0,0412375640104333;0,0568997937026547
0,141706071149966;0,0870376243398704;0;0,184155875677647;0;0;0,11228527884913;1;0,0894358594223121;0,155537407502564;0,0448678458980665;0,0539102932478673;0;0,0840380564802807;0,0707614958860844;0;0,236035177062495;0,0922160544190673;0,101507654189215;0,0373411954456491;0,122662825367507;0;0,119315264691485;0;0,116403611865864;0,0461754691542641;0;0;0;0,0543174030954983;0,12704731601191;0,118763742251528;0,128692627048895;0,0864547697452771;0,106163393163619;0;0;0,0852064009822098;0;0;0,0380172008397118;0;0,103016007273819;0;0,0334573856898909;0,204806418903468;0,0577971418340075;0;0;0,0867926752204467;0,138472497217022;0,0432214254649603;0,0901671463462266;0,0756099781812269;0;0,0780912979152702;0,0331514754422091;0,103864582000838;0,0687199246159681;0;0;0,126722820116505;0;0,0745962772245667;0,0587395805427742;0;0,0835950681343876;0,0729274289387565;0;0;0,0596048795403656;0,0735154900060991;0,0809773962147469;0;0;0,0758762302664475;0;0;0;0;0,0595879860518839;0,181970686935942;0;0,0402093536613597;0;0;0,0824448254714788;0;0
0,043662270702851;0;0;0,0344803645795203;0,0759245672892538;0,035306055816835;0,105735274421492;0,0894358594223121;1;0;0,0453094045912508;0;0,0474481576301894;0;0;0;0;0,0304970767257407;0,05906872453699;0;0;0;0;0;0,0374525574684522;0;0;0;0;0;0,0438127626351165;0;0,0413767305536499;0;0;0,0340063860552049;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03449823508151;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0578738482192731;0
0,40526517739851;0,0657391826291253;0,0434789009644341;0,193857289951321;0;0,0719272235059215;0,242320172255893;0,155537407502564;0;1;0,411500138147814;0;0,136719865261236;0,0355111029894999;0,176183814272402;0,364753946042345;0,40142595420516;0,281788854525462;0,127249129253045;0,502049396211993;0,297974765239707;0,350451747242909;0,518918468263994;0,22174255524946;0,633159202702722;0,202294141174806;0;0,124503420119781;0;0,133200238995525;0;0;0,0444288632755404;0,107256515480039;0,342082586217912;0,157583729099502;0,0804805913513164;0,284114108872743;0;0,116944024572;0,0394524897530782;0,054331626249231;0;0;0;0,100918434256274;0,0822061141556535;0,144141600069977;0;0,0841267773554085;0,152181425042912;0;0;0,0407647111719777;0,173943974533288;0,184641078652204;0,0683851642536211;0;0;0;0,22688324307329;0,161316852414869;0;0,0430063064452661;0,0646424079775505;0,0524556225722081;0;0,0385485630467926;0,0751874363386389;0;0,0645607256103305;0,292104281509236;0,03916753289575;0;0;0,0675290347850299;0;0;0,103347696786295;0;0;0,0723004594565629;0,0920522431137081;0,054314801602951;0;0;0;0,0781807844911904;0,0934388710435691
