"Actinoptychus";"Asterionellopsis";"Coscinodiscus";"Dinophysis";"Ditylum";"Navicula";"Paralia";"Pleurosigma";"Thalassiosira";"Asterionella";"Bacillaria";"Biddulphia";"Chaetoceros";"Guinardia";"Melosira";"Nitzschia";"Odontella";"Plagiogramma";"Prorocentrum";"Rhaphoneis";"Rhizosolenia";"Skeletonema";"Thalassionema";"Trieres";"Lauderia";"Leptocylindrus";"Meuniera";"Protoperidinium";"Cerataulina";"Dactyliosolen";"Gyrodinium";"Phaeocystis";"Pseudo-nitzschia";"Eucampia";"Diploneis";"Gymnodinium";"Akashiwo";"Diplopsalis";"Euglenoidea";"Trigonium";"Helicotheca";"Dictyocha";"Porosira";"Scenedesmus";"Scrippsiella";"Katodinium";"Torodinium";"Ciliophora.x";"Heterocapsa";"Amphidinium";"Pennées";"Cryptophyceae.x";"Peridiniales";"Mesodinium";"Alexandrium";"Chlorophyceae";"Licmophora";"Lithodesmium";"Polykrikos";"Gonyaulax";"Pyramimonas";"Heterosigma";"Dinoflagellata.x";"Brockmanniella";"Karlodinium";"Delphineis";"Eutreptiella";"Bacillariaceae";"Cylindrotheca";"Naviculaceae";"Gymnodiniales";"Centriques";"Gymnodiniaceae";"Euglenaceae";"Thalassiosiraceae";"Dinophyceae.x";"Euglenia";"Plagiolemma"
-0,112131529022613;0,286493086181076;0;0;0,0803028400367855;0,179827173871493;0,053348502792495;0,179757170182913;0;-0,0550261146492212;0;0,182280025860761;0,302267716761278;0,40957939756663;0;0,130549527076793;0;-0,0753669063662356;0,267156235259194;0,312794128097936;0,360496200526253;-0,250152925656377;0;0,0813463864110611;0,0717282501358266;0,231886262360074;0,147915146082295;0,480210024700376;0,193114111203258;0,142260480063408;1;0,35626348330163;0,450088170092862;0,0806432437491236;0,150710457384576;0,333004713986738;0;0,0900218683899527;0,144786800662227;0,0653113262587396;0;0;0;0;0,0706560138489162;0,378852681225666;0,235289307553351;0,435412461316504;0,178910899995749;0,208490791013223;0;0,394863233362197;-0,171031272094663;0,130941091136224;0,0552718282864334;0,113683059747413;0;-0,101487617928109;0,190410114487795;0;0,108484171837765;0,104818542885222;0;-0,0501035358008902;0,129310361524746;0,157043194324892;0,200246837873996;-0,169317632238427;-0,166466888349107;-0,269057914372786;0,222986216496687;-0,384794303364527;-0,0608651554434864;-0,117159363270781;-0,205421786382727;-0,152920153794274;-0,295974090784361;-0,143869625301041
-0,0892880405591241;0,238532665259017;0;-0,145343273353379;0,0743787663885068;0;0,0755644432135443;0;-0,0816078274264371;0;0;0,201059322810936;0;0,238002003293907;0;0;0;0;-0,142320778868668;0,278423907455296;0,342218190278852;-0,218081947126418;-0,0727349581080069;0,134520424109879;0,0758428551742273;-0,106973795957324;0,208265220490557;0,168529708851259;0,0756711420061067;0,106981131181424;0,35626348330163;1;0,440946878558738;-0,050731580440115;0;0,18886518317881;-0,054563810054857;0;0;0;0;-0,170439681964874;0;0,0621213235595049;-0,185356419944799;0,186384309464316;0,0824186418253765;0,297566231382534;-0,0692802809256925;0;-0,0770522307737215;0,118978335754788;-0,111768816964279;0;-0,0868282282597663;0;-0,0622391329411784;-0,107331439734881;-0,0588980028999121;-0,128083778308257;0;0;-0,0497943574621319;0;0,070491340896006;0;0;-0,0963284695042304;-0,155677779591372;-0,152103563010497;0,0523116937228144;-0,207900816780822;-0,0810995924872882;-0,14623262469333;-0,135538593802172;-0,120409671379496;-0,170862699820623;-0,0655781623092054
-0,0916519258628939;0,274855036630472;0;0,0817589853555008;0,213996143870369;0;-0,102342714881997;0,278276012340984;0;0;0;0,0985364248423798;0,437920283967256;0,476541597579816;-0,0612807277458097;0;0;-0,0915404819273426;0,233373521256466;0,1715107525486;0,424954468406825;-0,0814096955978307;0,177786186612476;0,0589295182361991;0,128353440993101;0,303487153341594;0,167178038012043;0,424444706892753;0,282317932514248;0,354446057653889;0,450088170092862;0,440946878558738;1;0,159910290357935;0;0,165073154411023;0;0,181774132438837;-0,0694394737087934;0;0;-0,0820149808618229;0;0;0,120409744363151;0,279633566160419;0,159067343453997;0,325766277173759;0,0809164032647295;0,086173939548967;0;0,226288417145738;0;0,0879891186159706;0,0758155799832284;0;0,0652296337204399;0,0478756844741851;0,125698136230069;0,124016744882847;0;0,0662183567154549;0;-0,125552238300695;0,0833450438466998;0;0,0581326813790741;-0,0737976116825715;0;-0,128763687342713;0,1848754587815;-0,250785695756126;0;-0,191066699733427;-0,115873856022425;-0,0544110085332199;-0,0941548233403453;-0,0914475100116326
0;0;0;0,272673720078747;0,161693152502164;0;-0,0767023503086562;0,120651173390142;0;-0,050503496579782;-0,0563811754686035;0;0,284302428312417;0,251192631912072;0,0488811704527882;0;-0,0477556143431332;0;0,279140410982972;-0,0878939568927605;0,092362250467575;0;0,166053106144411;0;0,0698535549320929;0,288387376799068;0,049352272372507;0,146679512917276;0,192195750134101;0,132704579128109;0,0806432437491236;-0,050731580440115;0,159910290357935;1;0,109180185418221;0,129504903222531;0,0499856580528102;0,178045735391992;0,056946142920571;0,0831676711350634;0;0;0;0;0,178990261980738;0,0835435882830298;0;0;0,0678134979397207;0,0686002358525864;0;0;0;0,0627708335707275;0,123875137862163;0;0,0480841057340031;0,148462370264148;0,153942637783033;0,123505148005379;0,182091939738855;0;0;-0,0870810039386221;0;0,0571317136631669;0;0;0;0;0;0;0;0;0;0;0;0
0;0,129006510230322;0;0;-0,0969276769282513;0,195029269350449;0,188296146674277;0,146242479395729;0;0;0;0,147201393183768;0,0522483076734935;0,174172961839961;0;0,0986692606115904;0,0641572602675696;0;0,105458368842508;0,15077563683359;0,131832807618508;0;0;0,116230968213464;0;0,0845879516066986;0,105848196984732;0,158117774726612;0;0;0,150710457384576;0;0;0,109180185418221;1;0,166026016947253;0;0,0875267868814017;0,12352775427597;0,148673584163699;0;0,078029364254066;0;0;0;0,221957743950147;0,0545601763599089;0,196443947093725;0,059470429193046;0,246864693723608;0,101599164032819;0,238512058794302;-0,065567607985068;0,0910612209342269;-0,0578454031490558;0,110041683696345;0,0570309559623369;0;0,0862502385694829;0;0,0973048296226537;0;-0,050488896055503;0;0,120933505035388;0,143875394362126;0,114990900455872;-0,0915331335528703;-0,0698454987779631;-0,0755612118675951;0,0660962604115087;-0,0678471946243989;0;-0,0885989831516212;-0,0646815807167728;0;-0,0919176012840314;0
-0,142499032038402;0,194249921703801;0;0;0,0537118581589041;0,151992591869864;0;0,133868045024596;0;0,0543312313089967;0;0,0678367414494743;0,138612021558797;0,185386542413966;0,118525525313012;0,376821922144893;-0,119075033589737;0;0,160530692273379;0,113355698314459;0,1360127340853;-0,152172911804251;0;0,273201800760693;-0,0489256838429424;0,073265540768108;0,0753828636380001;0,242137228321381;0;-0,0772197837004084;0,333004713986738;0,18886518317881;0,165073154411023;0,129504903222531;0,166026016947253;1;0;0,105889138465567;0,23749743354073;0,0551000362513267;0;0;0;0,0611271480161834;0;0,168369538557353;0;0,334676568328367;-0,0504380088546892;0,276436675291618;0;0,232786577364968;-0,178161382053693;0,064223304925319;0;0,226769666249083;0;-0,0579107564436211;0,0557358429305627;0;0,0649683149700566;0,106647608305727;0,0812198736473372;-0,097033185745329;0;0;0,0770419586203978;-0,0570049983750036;-0,315832127307673;-0,11726936269657;-0,32316841176589;-0,321893728605403;-0,104011004191337;0;-0,173449826809492;-0,176078909495648;-0,27985559594221;-0,114909207002095
0;-0,053854429790967;0;0,213221238927599;0;0;0;0;-0,0496863154554602;0;0;0;0;0,0544652145579599;0;-0,0481529477145433;0;-0,0604433355261465;0,170037956834735;-0,0588473705887042;0;0;0;-0,0576894539634406;0;0,117502427648128;-0,0496020453755564;0,0751804645301596;0;0,0509705301279173;0;-0,054563810054857;0;0,0499856580528102;0;0;1;0,0677173515008167;0,0919837993228891;0;0;-0,0531990048163591;0;-0,0567531784225936;0,142432291321266;0;0;0;0,0868310426996359;0;0;0;0,103675564126946;0,0944838267442206;0,0875483854027591;0;0;0,104406553761168;0,0799722446425511;0,139406894802489;0,191298769372501;0;0;0;0;0;0;0;0,0630671667789469;-0,0528999247276525;0;0,059710615522796;0,067805195926124;0;0;0;0,130554541648186;0,0487675740555115
0;0;0;0,164632558852186;0,210363037727275;0;-0,0755491663642306;0,159253158141187;0;0;0;-0,0997276801004774;0,210218519500991;0,154743779379967;0;0;-0,132950464226591;-0,0587481871480284;0,205146461726948;-0,100126557381822;0,130502055378569;0,051407631538702;0,181321311739752;0;0;0,205246117994231;0;0,195691733094747;0,110463370985518;0,122054922119253;0,0900218683899527;0;0,181774132438837;0,178045735391992;0,0875267868814017;0,105889138465567;0,0677173515008167;1;0,0627200578169627;0;-0,0631779313682269;-0,0528765373754834;0;0;0,284552241782422;0,129156970818905;0,0598650325034764;0,054682191994742;0,0663062912119259;0,0576089574044986;0,0918034474755971;0;0,188854459952606;0,102451089099157;0,175636725617245;0;0;0,18203866440633;0;0,244236802914063;0,113562771829812;0;0;-0,0917136051497226;0;-0,0613353526911713;-0,0667148783150947;0;0,136820661664965;0;0;0,0541756197281997;0,0940623440103332;-0,0591454307433697;0,069213008969164;0,109367075803141;0,177744378530539;0
-0,0639451713991612;0;0;0,0694173510499323;0;0,0904818828177459;-0,0964252149502896;0;0;0,125306921949251;0;0;0;0;0,135484596883917;0,250284945032943;-0,0778811103259257;0;0;-0,0532805773071602;-0,0596986120959181;0;-0,0559155421538003;0,114046620533363;0;0;0;0,0934526134576873;-0,087409930986998;-0,0806215728052138;0,144786800662227;0;-0,0694394737087934;0,056946142920571;0,12352775427597;0,23749743354073;0,0919837993228891;0,0627200578169627;1;0;0;0;0;0,0793203694919101;0;0,0633733861570412;-0,091175359523734;0;-0,0726719383946837;0,208350293970718;0,0776978494648095;0,100682934270271;-0,0751637765886384;0,0831109519905009;0;0,0800096344910243;0;-0,0540262040110138;0,102552714223783;0;0,166468365424957;0;0,0670573597632563;0;0;-0,0988268801061321;-0,104332697161167;0;-0,185014112005396;-0,110731905437546;-0,140428306074774;-0,128728721271825;0;-0,0941099610235245;-0,0844753993669481;-0,0756111243689583;-0,115928447937261;0
0;0,0872280841525458;0,185914282674678;0;0;0,21808397795159;0,249533754024434;0,127744065234414;0,104411706641989;0;0;0,151400527498257;0,0645276169514271;0,115938345199679;0;0;0,20472413062942;0;0,0863518405001703;0,192948125258814;0;0;0,0967044269296692;0,0635790968152013;0;0,0647831601914937;0,120903262370026;0,103145616160405;0;-0,0513800483940501;0,0653113262587396;0;0;0,0831676711350634;0,148673584163699;0,0551000362513267;0;0;0;1;0,0554838719860167;0,152561858695177;0,129460264630945;0;0;0,1098081339634;0,0660014611215403;0,119375343849948;0;0,0754245004667643;0,126185751346797;0,239636035776232;0;0;0;0,088694236040436;0,0579528654951401;0;0;-0,0894045802307038;0,0891553572801398;0;-0,0511837464814077;0,129867717443804;0;0,308147659714528;0,242937912910165;-0,102491509971627;0;-0,0588010180103116;0,0995084118407171;0;0;-0,108059511624115;-0,0675428297084017;0;0;0
