"v1";"v1_classe";"v2";"v2_classe";"data$asso";"link_genus"
"Asterionellopsis";"Bacillariophyceae";"Phaeocystis";"Haptophyta";0,238532665259017;"Bacillariophyceae-Haptophyta"
"Asterionellopsis";"Bacillariophyceae";"Pseudo-nitzschia";"Bacillariophyceae";0,274855036630472;"Bacillariophyceae-Bacillariophyceae"
"Asterionellopsis";"Bacillariophyceae";"Diploneis";"Bacillariophyceae";0,129006510230322;"Bacillariophyceae-Bacillariophyceae"
"Asterionellopsis";"Bacillariophyceae";"Gymnodinium";"Dinophyceae";0,194249921703801;"Bacillariophyceae-Dinophyceae"
"Asterionellopsis";"Bacillariophyceae";"Trigonium";"Bacillariophyceae";0,0872280841525458;"Bacillariophyceae-Bacillariophyceae"
"Asterionellopsis";"Bacillariophyceae";"Helicotheca";"Bacillariophyceae";0,119038332485551;"Bacillariophyceae-Bacillariophyceae"
"Asterionellopsis";"Bacillariophyceae";"Porosira";"Bacillariophyceae";0,0930683165938713;"Bacillariophyceae-Bacillariophyceae"
"Asterionellopsis";"Bacillariophyceae";"Scenedesmus";"Chlorophyta";0,071634347870264;"Bacillariophyceae-Chlorophyta"
"Asterionellopsis";"Bacillariophyceae";"Katodinium";"Dinophyceae";0,153655927991681;"Bacillariophyceae-Dinophyceae"
"Asterionellopsis";"Bacillariophyceae";"Ciliophora.x";"Ciliophora";0,290659178370925;"Bacillariophyceae-Ciliophora"
"Asterionellopsis";"Bacillariophyceae";"Amphidinium";"Dinophyceae";0,141185078649679;"Bacillariophyceae-Dinophyceae"
"Asterionellopsis";"Bacillariophyceae";"Cryptophyceae.x";"Cryptophyceae";0,301750658391314;"Bacillariophyceae-Cryptophyceae"
"Asterionellopsis";"Bacillariophyceae";"Mesodinium";"Ciliophora";0,0730676185590284;"Bacillariophyceae-Ciliophora"
"Asterionellopsis";"Bacillariophyceae";"Chlorophyceae";"Chlorophyta";0,0886850417194536;"Bacillariophyceae-Chlorophyta"
"Asterionellopsis";"Bacillariophyceae";"Heterosigma";"Raphidophyceae";0,0623577096720948;"Bacillariophyceae-Raphidophyceae"
"Asterionellopsis";"Bacillariophyceae";"Brockmanniella";"Bacillariophyceae";0,0763894844456614;"Bacillariophyceae-Bacillariophyceae"
"Asterionellopsis";"Bacillariophyceae";"Karlodinium";"Dinophyceae";0,145473263630387;"Bacillariophyceae-Dinophyceae"
"Asterionellopsis";"Bacillariophyceae";"Delphineis";"Bacillariophyceae";0,153688775859077;"Bacillariophyceae-Bacillariophyceae"
"Asterionellopsis";"Bacillariophyceae";"Eutreptiella";"Euglenozoa";0,199416582601956;"Bacillariophyceae-Euglenozoa"
"Asterionellopsis";"Bacillariophyceae";"Gymnodiniales";"Dinophyceae";0,096740941267826;"Bacillariophyceae-Dinophyceae"
"Coscinodiscus";"Bacillariophyceae";"Ditylum";"Bacillariophyceae";0,0516609802458198;"Bacillariophyceae-Bacillariophyceae"
"Coscinodiscus";"Bacillariophyceae";"Navicula";"Bacillariophyceae";0,166254018114156;"Bacillariophyceae-Bacillariophyceae"
"Coscinodiscus";"Bacillariophyceae";"Paralia";"Bacillariophyceae";0,178040435707828;"Bacillariophyceae-Bacillariophyceae"
"Coscinodiscus";"Bacillariophyceae";"Pleurosigma";"Bacillariophyceae";0,0592585295683514;"Bacillariophyceae-Bacillariophyceae"
"Coscinodiscus";"Bacillariophyceae";"Thalassiosira";"Bacillariophyceae";0,0579269985725902;"Bacillariophyceae-Bacillariophyceae"
"Coscinodiscus";"Bacillariophyceae";"Biddulphia";"Bacillariophyceae";0,169745210089126;"Bacillariophyceae-Bacillariophyceae"
"Coscinodiscus";"Bacillariophyceae";"Odontella";"Bacillariophyceae";0,13504085659222;"Bacillariophyceae-Bacillariophyceae"
"Coscinodiscus";"Bacillariophyceae";"Rhaphoneis";"Bacillariophyceae";0,140746325845739;"Bacillariophyceae-Bacillariophyceae"
"Coscinodiscus";"Bacillariophyceae";"Trieres";"Bacillariophyceae";0,0931127276765804;"Bacillariophyceae-Bacillariophyceae"
"Coscinodiscus";"Bacillariophyceae";"Trigonium";"Bacillariophyceae";0,185914282674678;"Bacillariophyceae-Bacillariophyceae"
"Coscinodiscus";"Bacillariophyceae";"Helicotheca";"Bacillariophyceae";0,0509194637793083;"Bacillariophyceae-Bacillariophyceae"
"Coscinodiscus";"Bacillariophyceae";"Dictyocha";"Dictyochophyceae";0,0972949540644637;"Bacillariophyceae-Dictyochophyceae"
"Coscinodiscus";"Bacillariophyceae";"Porosira";"Bacillariophyceae";0,104602534734281;"Bacillariophyceae-Bacillariophyceae"
"Coscinodiscus";"Bacillariophyceae";"Katodinium";"Dinophyceae";0,0726308796960443;"Bacillariophyceae-Dinophyceae"
"Coscinodiscus";"Bacillariophyceae";"Pennées";"Bacillariophyceae";0,100618158606965;"Bacillariophyceae-Bacillariophyceae"
"Coscinodiscus";"Bacillariophyceae";"Cryptophyceae.x";"Cryptophyceae";0,129479600504653;"Bacillariophyceae-Cryptophyceae"
"Coscinodiscus";"Bacillariophyceae";"Peridiniales";"Dinophyceae";0,0493564406662415;"Bacillariophyceae-Dinophyceae"
"Coscinodiscus";"Bacillariophyceae";"Licmophora";"Bacillariophyceae";0,0709423959088655;"Bacillariophyceae-Bacillariophyceae"
"Coscinodiscus";"Bacillariophyceae";"Brockmanniella";"Bacillariophyceae";0,15110915212;"Bacillariophyceae-Bacillariophyceae"
"Coscinodiscus";"Bacillariophyceae";"Delphineis";"Bacillariophyceae";0,131442391427243;"Bacillariophyceae-Bacillariophyceae"
"Coscinodiscus";"Bacillariophyceae";"Eutreptiella";"Euglenozoa";0,0863388591769676;"Bacillariophyceae-Euglenozoa"
"Coscinodiscus";"Bacillariophyceae";"Gymnodiniales";"Dinophyceae";0,116681783825776;"Bacillariophyceae-Dinophyceae"
"Coscinodiscus";"Bacillariophyceae";"Euglenia";"Euglenozoa";0,0655823488847964;"Bacillariophyceae-Euglenozoa"
"Dinophysis";"Dinophyceae";"Ditylum";"Bacillariophyceae";0,117750752794894;"Bacillariophyceae-Dinophyceae"
"Dinophysis";"Dinophyceae";"Chaetoceros";"Bacillariophyceae";0,198757163561422;"Bacillariophyceae-Dinophyceae"
"Dinophysis";"Dinophyceae";"Guinardia";"Bacillariophyceae";0,050091740860262;"Bacillariophyceae-Dinophyceae"
"Dinophysis";"Dinophyceae";"Melosira";"Bacillariophyceae";0,0857948054443697;"Bacillariophyceae-Dinophyceae"
"Dinophysis";"Dinophyceae";"Prorocentrum";"Dinophyceae";0,398744884560884;"Dinophyceae-Dinophyceae"
"Dinophysis";"Dinophyceae";"Leptocylindrus";"Bacillariophyceae";0,29919639250533;"Bacillariophyceae-Dinophyceae"
"Dinophysis";"Dinophyceae";"Protoperidinium";"Dinophyceae";0,137146829702944;"Dinophyceae-Dinophyceae"
"Dinophysis";"Dinophyceae";"Dactyliosolen";"Bacillariophyceae";0,162789302683422;"Bacillariophyceae-Dinophyceae"
"Dinophysis";"Dinophyceae";"Pseudo-nitzschia";"Bacillariophyceae";0,0817589853555008;"Bacillariophyceae-Dinophyceae"
"Dinophysis";"Dinophyceae";"Eucampia";"Bacillariophyceae";0,272673720078747;"Bacillariophyceae-Dinophyceae"
"Dinophysis";"Dinophyceae";"Akashiwo";"Dinophyceae";0,213221238927599;"Dinophyceae-Dinophyceae"
"Dinophysis";"Dinophyceae";"Diplopsalis";"Dinophyceae";0,164632558852186;"Dinophyceae-Dinophyceae"
"Dinophysis";"Dinophyceae";"Euglenoidea";"Euglenozoa";0,0694173510499323;"Dinophyceae-Euglenozoa"
"Dinophysis";"Dinophyceae";"Scrippsiella";"Dinophyceae";0,39205151482512;"Dinophyceae-Dinophyceae"
"Dinophysis";"Dinophyceae";"Heterocapsa";"Dinophyceae";0,101922120213687;"Dinophyceae-Dinophyceae"
"Dinophysis";"Dinophyceae";"Peridiniales";"Dinophyceae";0,149378990892099;"Dinophyceae-Dinophyceae"
"Dinophysis";"Dinophyceae";"Mesodinium";"Ciliophora";0,0872483858925127;"Ciliophora-Dinophyceae"
"Dinophysis";"Dinophyceae";"Alexandrium";"Dinophyceae";0,212570469125545;"Dinophyceae-Dinophyceae"
"Dinophysis";"Dinophyceae";"Lithodesmium";"Bacillariophyceae";0,320896982033777;"Bacillariophyceae-Dinophyceae"
"Dinophysis";"Dinophyceae";"Polykrikos";"Dinophyceae";0,117442772074666;"Dinophyceae-Dinophyceae"
"Dinophysis";"Dinophyceae";"Gonyaulax";"Dinophyceae";0,283073686676691;"Dinophyceae-Dinophyceae"
"Dinophysis";"Dinophyceae";"Pyramimonas";"Chlorophyta";0,233576108629045;"Chlorophyta-Dinophyceae"
"Dinophysis";"Dinophyceae";"Dinoflagellata.x";"Dinophyceae";0,0835056039673505;"Dinophyceae-Dinophyceae"
"Dinophysis";"Dinophyceae";"Bacillariaceae";"Bacillariophyceae";0,0702458056857961;"Bacillariophyceae-Dinophyceae"
"Dinophysis";"Dinophyceae";"Cylindrotheca";"Bacillariophyceae";0,113085019417852;"Bacillariophyceae-Dinophyceae"
"Dinophysis";"Dinophyceae";"Naviculaceae";"Bacillariophyceae";0,102067266298665;"Bacillariophyceae-Dinophyceae"
"Dinophysis";"Dinophyceae";"Gymnodiniaceae";"Dinophyceae";0,185540239001109;"Dinophyceae-Dinophyceae"
"Dinophysis";"Dinophyceae";"Euglenaceae";"Euglenozoa";0,0908578342959194;"Dinophyceae-Euglenozoa"
"Dinophysis";"Dinophyceae";"Thalassiosiraceae";"Bacillariophyceae";0,0777746449457111;"Bacillariophyceae-Dinophyceae"
"Dinophysis";"Dinophyceae";"Dinophyceae.x";"Dinophyceae";0,0488324999166749;"Dinophyceae-Dinophyceae"
"Dinophysis";"Dinophyceae";"Euglenia";"Euglenozoa";0,184031254263327;"Dinophyceae-Euglenozoa"
"Dinophysis";"Dinophyceae";"Plagiolemma";"Bacillariophyceae";0,0849515945309191;"Bacillariophyceae-Dinophyceae"
"Ditylum";"Bacillariophyceae";"Pleurosigma";"Bacillariophyceae";0,0753686681163373;"Bacillariophyceae-Bacillariophyceae"
"Ditylum";"Bacillariophyceae";"Thalassiosira";"Bacillariophyceae";0,399435620416089;"Bacillariophyceae-Bacillariophyceae"
"Ditylum";"Bacillariophyceae";"Asterionella";"Bacillariophyceae";0,0618115709814223;"Bacillariophyceae-Bacillariophyceae"
"Ditylum";"Bacillariophyceae";"Bacillaria";"Bacillariophyceae";0,0624507522021268;"Bacillariophyceae-Bacillariophyceae"
"Ditylum";"Bacillariophyceae";"Chaetoceros";"Bacillariophyceae";0,364805174560074;"Bacillariophyceae-Bacillariophyceae"
"Ditylum";"Bacillariophyceae";"Melosira";"Bacillariophyceae";0,0495182782596627;"Bacillariophyceae-Bacillariophyceae"
"Ditylum";"Bacillariophyceae";"Nitzschia";"Bacillariophyceae";0,145076074561532;"Bacillariophyceae-Bacillariophyceae"
"Ditylum";"Bacillariophyceae";"Rhizosolenia";"Bacillariophyceae";0,139067414258177;"Bacillariophyceae-Bacillariophyceae"
"Ditylum";"Bacillariophyceae";"Skeletonema";"Bacillariophyceae";0,248173273621254;"Bacillariophyceae-Bacillariophyceae"
"Ditylum";"Bacillariophyceae";"Thalassionema";"Bacillariophyceae";0,334243470506404;"Bacillariophyceae-Bacillariophyceae"
"Ditylum";"Bacillariophyceae";"Trieres";"Bacillariophyceae";0,0801592462610832;"Bacillariophyceae-Bacillariophyceae"
"Ditylum";"Bacillariophyceae";"Lauderia";"Bacillariophyceae";0,335261304028128;"Bacillariophyceae-Bacillariophyceae"
"Ditylum";"Bacillariophyceae";"Dactyliosolen";"Bacillariophyceae";0,126273989231795;"Bacillariophyceae-Bacillariophyceae"
"Ditylum";"Bacillariophyceae";"Gyrodinium";"Dinophyceae";0,0803028400367855;"Bacillariophyceae-Dinophyceae"
"Ditylum";"Bacillariophyceae";"Phaeocystis";"Haptophyta";0,0743787663885068;"Bacillariophyceae-Haptophyta"
"Ditylum";"Bacillariophyceae";"Pseudo-nitzschia";"Bacillariophyceae";0,213996143870369;"Bacillariophyceae-Bacillariophyceae"
"Ditylum";"Bacillariophyceae";"Eucampia";"Bacillariophyceae";0,161693152502164;"Bacillariophyceae-Bacillariophyceae"
"Ditylum";"Bacillariophyceae";"Gymnodinium";"Dinophyceae";0,0537118581589041;"Bacillariophyceae-Dinophyceae"
"Ditylum";"Bacillariophyceae";"Diplopsalis";"Dinophyceae";0,210363037727275;"Bacillariophyceae-Dinophyceae"
"Ditylum";"Bacillariophyceae";"Porosira";"Bacillariophyceae";0,109554513223217;"Bacillariophyceae-Bacillariophyceae"
"Ditylum";"Bacillariophyceae";"Scenedesmus";"Chlorophyta";0,0575706934933761;"Bacillariophyceae-Chlorophyta"
"Ditylum";"Bacillariophyceae";"Scrippsiella";"Dinophyceae";0,133519195041398;"Bacillariophyceae-Dinophyceae"
"Ditylum";"Bacillariophyceae";"Heterocapsa";"Dinophyceae";0,127225290070953;"Bacillariophyceae-Dinophyceae"
"Ditylum";"Bacillariophyceae";"Peridiniales";"Dinophyceae";0,0685276261934167;"Bacillariophyceae-Dinophyceae"
"Ditylum";"Bacillariophyceae";"Alexandrium";"Dinophyceae";0,10088163478853;"Bacillariophyceae-Dinophyceae"
"Ditylum";"Bacillariophyceae";"Lithodesmium";"Bacillariophyceae";0,0904934360306143;"Bacillariophyceae-Bacillariophyceae"
"Ditylum";"Bacillariophyceae";"Gonyaulax";"Dinophyceae";0,194952068043153;"Bacillariophyceae-Dinophyceae"
"Ditylum";"Bacillariophyceae";"Bacillariaceae";"Bacillariophyceae";0,0619676068790019;"Bacillariophyceae-Bacillariophyceae"
"Ditylum";"Bacillariophyceae";"Dinophyceae.x";"Dinophyceae";0,0523721863177582;"Bacillariophyceae-Dinophyceae"
"Navicula";"Bacillariophyceae";"Paralia";"Bacillariophyceae";0,337002230086869;"Bacillariophyceae-Bacillariophyceae"
"Navicula";"Bacillariophyceae";"Pleurosigma";"Bacillariophyceae";0,190639712838793;"Bacillariophyceae-Bacillariophyceae"
"Navicula";"Bacillariophyceae";"Biddulphia";"Bacillariophyceae";0,284961902652563;"Bacillariophyceae-Bacillariophyceae"
"Navicula";"Bacillariophyceae";"Chaetoceros";"Bacillariophyceae";0,0567702419298388;"Bacillariophyceae-Bacillariophyceae"
"Navicula";"Bacillariophyceae";"Guinardia";"Bacillariophyceae";0,198768826309623;"Bacillariophyceae-Bacillariophyceae"
"Navicula";"Bacillariophyceae";"Nitzschia";"Bacillariophyceae";0,0635384132296948;"Bacillariophyceae-Bacillariophyceae"
"Navicula";"Bacillariophyceae";"Odontella";"Bacillariophyceae";0,170123561167702;"Bacillariophyceae-Bacillariophyceae"
"Navicula";"Bacillariophyceae";"Prorocentrum";"Dinophyceae";0,132520862988807;"Bacillariophyceae-Dinophyceae"
"Navicula";"Bacillariophyceae";"Rhaphoneis";"Bacillariophyceae";0,353024534355561;"Bacillariophyceae-Bacillariophyceae"
"Navicula";"Bacillariophyceae";"Rhizosolenia";"Bacillariophyceae";0,0759311368980603;"Bacillariophyceae-Bacillariophyceae"
