"v1";"v1_classe";"v2";"v2_classe";"data_edge$asso";"link_genus";"Sign"
"Asterionellopsis";"Bacillariophyceae";"Pleurosigma";"Bacillariophyceae";0,211298923072643;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Thalassiosira";"Bacillariophyceae";0,153768624274971;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Asterionella";"Bacillariophyceae";0,0517350874286881;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Bacillaria";"Bacillariophyceae";0,123700268528172;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Biddulphia";"Bacillariophyceae";0,270884314783123;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Chaetoceros";"Bacillariophyceae";0,179300996941572;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Guinardia";"Bacillariophyceae";0,148134975062899;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Melosira";"Bacillariophyceae";-0,0669912574431331;"Bacillariophyceae-Bacillariophyceae";"-"
"Asterionellopsis";"Bacillariophyceae";"Nitzschia";"Bacillariophyceae";0,202660402276673;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Odontella";"Bacillariophyceae";0,142102350926737;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Plagiogramma";"Bacillariophyceae";0,0602699843387575;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Prorocentrum";"Dinophyceae";0,0845136944534396;"Bacillariophyceae-Dinophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Rhaphoneis";"Bacillariophyceae";0,34995158541593;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Rhizosolenia";"Bacillariophyceae";0,238718867307297;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Thalassionema";"Bacillariophyceae";0,183963090010658;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Trieres";"Bacillariophyceae";0,292743667505022;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Lauderia";"Bacillariophyceae";0,109322480664915;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Meuniera";"Bacillariophyceae";0,102305624995333;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Protoperidinium";"Dinophyceae";0,204588809467713;"Bacillariophyceae-Dinophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Dactyliosolen";"Bacillariophyceae";0,0862427124582414;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Gyrodinium";"Dinophyceae";0,286493086181076;"Bacillariophyceae-Dinophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Phaeocystis";"Haptophyta";0,238532665259017;"Bacillariophyceae-Haptophyta";"+"
"Asterionellopsis";"Bacillariophyceae";"Pseudo-nitzschia";"Bacillariophyceae";0,274855036630472;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Diploneis";"Bacillariophyceae";0,129006510230322;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Gymnodinium";"Dinophyceae";0,194249921703801;"Bacillariophyceae-Dinophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Akashiwo";"Dinophyceae";-0,053854429790967;"Bacillariophyceae-Dinophyceae";"-"
"Asterionellopsis";"Bacillariophyceae";"Trigonium";"Bacillariophyceae";0,0872280841525458;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Helicotheca";"Bacillariophyceae";0,119038332485551;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Porosira";"Bacillariophyceae";0,0930683165938713;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Scenedesmus";"Chlorophyta";0,071634347870264;"Bacillariophyceae-Chlorophyta";"+"
"Asterionellopsis";"Bacillariophyceae";"Katodinium";"Dinophyceae";0,153655927991681;"Bacillariophyceae-Dinophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Ciliophora.x";"Ciliophora";0,290659178370925;"Bacillariophyceae-Ciliophora";"+"
"Asterionellopsis";"Bacillariophyceae";"Amphidinium";"Dinophyceae";0,141185078649679;"Bacillariophyceae-Dinophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Cryptophyceae.x";"Cryptophyceae";0,301750658391314;"Bacillariophyceae-Cryptophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Peridiniales";"Dinophyceae";-0,132137125733265;"Bacillariophyceae-Dinophyceae";"-"
"Asterionellopsis";"Bacillariophyceae";"Mesodinium";"Ciliophora";0,0730676185590284;"Bacillariophyceae-Ciliophora";"+"
"Asterionellopsis";"Bacillariophyceae";"Chlorophyceae";"Chlorophyta";0,0886850417194536;"Bacillariophyceae-Chlorophyta";"+"
"Asterionellopsis";"Bacillariophyceae";"Gonyaulax";"Dinophyceae";-0,0911989529436119;"Bacillariophyceae-Dinophyceae";"-"
"Asterionellopsis";"Bacillariophyceae";"Heterosigma";"Raphidophyceae";0,0623577096720948;"Bacillariophyceae-Raphidophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Brockmanniella";"Bacillariophyceae";0,0763894844456614;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Karlodinium";"Dinophyceae";0,145473263630387;"Bacillariophyceae-Dinophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Delphineis";"Bacillariophyceae";0,153688775859077;"Bacillariophyceae-Bacillariophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Eutreptiella";"Euglenozoa";0,199416582601956;"Bacillariophyceae-Euglenozoa";"+"
"Asterionellopsis";"Bacillariophyceae";"Bacillariaceae";"Bacillariophyceae";-0,143545102919279;"Bacillariophyceae-Bacillariophyceae";"-"
"Asterionellopsis";"Bacillariophyceae";"Cylindrotheca";"Bacillariophyceae";-0,0846947437960709;"Bacillariophyceae-Bacillariophyceae";"-"
"Asterionellopsis";"Bacillariophyceae";"Naviculaceae";"Bacillariophyceae";-0,167037109163967;"Bacillariophyceae-Bacillariophyceae";"-"
"Asterionellopsis";"Bacillariophyceae";"Gymnodiniales";"Dinophyceae";0,096740941267826;"Bacillariophyceae-Dinophyceae";"+"
"Asterionellopsis";"Bacillariophyceae";"Centriques";"Bacillariophyceae";-0,284516658490411;"Bacillariophyceae-Bacillariophyceae";"-"
"Asterionellopsis";"Bacillariophyceae";"Gymnodiniaceae";"Dinophyceae";-0,123108750853213;"Bacillariophyceae-Dinophyceae";"-"
"Asterionellopsis";"Bacillariophyceae";"Euglenaceae";"Euglenozoa";-0,168197397240461;"Bacillariophyceae-Euglenozoa";"-"
"Asterionellopsis";"Bacillariophyceae";"Thalassiosiraceae";"Bacillariophyceae";-0,18105420801476;"Bacillariophyceae-Bacillariophyceae";"-"
"Asterionellopsis";"Bacillariophyceae";"Dinophyceae.x";"Dinophyceae";-0,174521163785417;"Bacillariophyceae-Dinophyceae";"-"
"Asterionellopsis";"Bacillariophyceae";"Euglenia";"Euglenozoa";-0,250208725747923;"Bacillariophyceae-Euglenozoa";"-"
"Asterionellopsis";"Bacillariophyceae";"Plagiolemma";"Bacillariophyceae";-0,102401283178241;"Bacillariophyceae-Bacillariophyceae";"-"
"Coscinodiscus";"Bacillariophyceae";"Ditylum";"Bacillariophyceae";0,0516609802458198;"Bacillariophyceae-Bacillariophyceae";"+"
"Coscinodiscus";"Bacillariophyceae";"Navicula";"Bacillariophyceae";0,166254018114156;"Bacillariophyceae-Bacillariophyceae";"+"
"Coscinodiscus";"Bacillariophyceae";"Paralia";"Bacillariophyceae";0,178040435707828;"Bacillariophyceae-Bacillariophyceae";"+"
"Coscinodiscus";"Bacillariophyceae";"Pleurosigma";"Bacillariophyceae";0,0592585295683514;"Bacillariophyceae-Bacillariophyceae";"+"
"Coscinodiscus";"Bacillariophyceae";"Thalassiosira";"Bacillariophyceae";0,0579269985725902;"Bacillariophyceae-Bacillariophyceae";"+"
"Coscinodiscus";"Bacillariophyceae";"Biddulphia";"Bacillariophyceae";0,169745210089126;"Bacillariophyceae-Bacillariophyceae";"+"
"Coscinodiscus";"Bacillariophyceae";"Odontella";"Bacillariophyceae";0,13504085659222;"Bacillariophyceae-Bacillariophyceae";"+"
"Coscinodiscus";"Bacillariophyceae";"Rhaphoneis";"Bacillariophyceae";0,140746325845739;"Bacillariophyceae-Bacillariophyceae";"+"
"Coscinodiscus";"Bacillariophyceae";"Trieres";"Bacillariophyceae";0,0931127276765804;"Bacillariophyceae-Bacillariophyceae";"+"
"Coscinodiscus";"Bacillariophyceae";"Leptocylindrus";"Bacillariophyceae";-0,0583610223821446;"Bacillariophyceae-Bacillariophyceae";"-"
"Coscinodiscus";"Bacillariophyceae";"Trigonium";"Bacillariophyceae";0,185914282674678;"Bacillariophyceae-Bacillariophyceae";"+"
"Coscinodiscus";"Bacillariophyceae";"Helicotheca";"Bacillariophyceae";0,0509194637793083;"Bacillariophyceae-Bacillariophyceae";"+"
"Coscinodiscus";"Bacillariophyceae";"Dictyocha";"Dictyochophyceae";0,0972949540644637;"Bacillariophyceae-Dictyochophyceae";"+"
"Coscinodiscus";"Bacillariophyceae";"Porosira";"Bacillariophyceae";0,104602534734281;"Bacillariophyceae-Bacillariophyceae";"+"
"Coscinodiscus";"Bacillariophyceae";"Katodinium";"Dinophyceae";0,0726308796960443;"Bacillariophyceae-Dinophyceae";"+"
"Coscinodiscus";"Bacillariophyceae";"Pennées";"Bacillariophyceae";0,100618158606965;"Bacillariophyceae-Bacillariophyceae";"+"
"Coscinodiscus";"Bacillariophyceae";"Cryptophyceae.x";"Cryptophyceae";0,129479600504653;"Bacillariophyceae-Cryptophyceae";"+"
"Coscinodiscus";"Bacillariophyceae";"Peridiniales";"Dinophyceae";0,0493564406662415;"Bacillariophyceae-Dinophyceae";"+"
