"Actinoptychus";"Asterionellopsis";"Coscinodiscus";"Dinophysis";"Ditylum";"Navicula";"Paralia";"Pleurosigma";"Thalassiosira";"Asterionella";"Bacillaria";"Biddulphia";"Chaetoceros";"Guinardia";"Melosira";"Nitzschia";"Odontella";"Plagiogramma";"Prorocentrum";"Rhaphoneis";"Rhizosolenia";"Skeletonema";"Thalassionema";"Trieres";"Lauderia";"Leptocylindrus";"Meuniera";"Protoperidinium";"Cerataulina";"Dactyliosolen";"Gyrodinium";"Phaeocystis";"Pseudo-nitzschia";"Eucampia";"Diploneis";"Gymnodinium";"Akashiwo";"Diplopsalis";"Euglenoidea";"Trigonium";"Helicotheca";"Dictyocha";"Synedra";"Protoctista";"Pediastrum";"Scenedesmus";"Scrippsiella";"Tripos";"Noctiluca";"Katodinium";"Bacteriastrum";"Torodinium";"Ciliophora.x";"Heterocapsa";"Amphidinium";"Pennées";"Cryptophyceae.x";"Peridiniales";"Mesodinium";"Alexandrium";"Licmophora";"Lithodesmium";"Polykrikos";"Gonyaulax";"Pyramimonas";"Heterosigma";"Ceratium";"Dinoflagellata.x";"Brockmanniella";"Karenia";"Eutreptiella";"Bacillariaceae";"Podosira";"Plagiogrammopsis";"Euglena";"Peridinium";"Corethron";"Cylindrotheca";"Lingulodinium";"Naviculaceae";"Gymnodiniales";"Proboscia";"Gonyaulacaceae";"Dinobryon";"Detonula";"Oxytoxum";"Centriques";"Chromista.x";"Fragilariaceae";"Prymnesiophyceae";"Protoceratium";"Phalacroma";"Gymnodiniaceae";"Euglenaceae";"Achnanthes";"Eutreptiaceae";"Asteroplanus";"Neocalyptrella";"Grammatophora";"Warnowia";"Thalassiosiraceae";"Hemiaulus";"Melosiraceae";"Haslea";"Lepidodinium";"Dinophyceae.x";"Striatella";"Euglenia";"Plagiolemma";"Kareniaceae";"Mediopyxis";"Amphora";"Thalassionemataceae";"Goniodoma";"Cocconeis";"Oblea";"Chaetocerotaceae";"Entomoneis";"Tintinnidae";"Cymatosiraceae";"Pronoctiluca";"Amylax";"Entomoneidaceae";"Cryptomonadales";"Tintinnina"
0;0,0705075671847131;0;0,112423221609105;0;0,0344763337575755;0;0,0397280585749399;0;0;0;0;0,148803134022274;0,0776862429344205;0;0;0;0;0,135465666411291;0;0,0603220003945032;0;0,112575684903729;0,0691500736604808;0;0,134423838017393;0,062314427958443;0,0902464774391986;0,125616041579779;0,0876517095758561;0,0869851837375619;0;0,111355978471262;0;0;0,11105094660432;0,048987811515379;0,10803613847356;0;0;0,0390352737504827;0,0863004765355581;0;0;0;0;0,102107135252399;0,188804530750335;0,129091418623788;0,0463422528944617;0,0920411704943568;0,10585151145478;0;0,0686232600114514;0,0408168942593253;0;0;0;0,0647752568413263;0,0736121890249352;0,0771835028703046;0,130355628445994;0,0440595231299468;0,0629891548402112;0;0,0949193904291613;0;0;0;0,062413984415095;0;0;0;0;0;0,0835137866227778;0,033170527425129;0,124819215633759;0,1726950096475;0;0;0,162005109084444;0;0;0,0671473665858595;0,115086246894252;0;0;0;0;0,136158148884231;0,0468671212287488;0;0,0602055801084635;0,0522023774350913;0,0355733715291304;0;0,06882611655033;0;0;0;0,0441300927334865;0;1;0,0939715667321096;0,0375173107317517;0,0892800810705785;0,0456093611966663;0;0,121748883837158;0,102432268309273;0;0;0,0510410701673995;0;0,0591295107293919;0;0;0,138526722450128;0,0546107197569756;0,0691570206067431;0,0578972892366176;0;0,174983857432794;0,0642420139229278
0;0;0;0,138643730439134;0;0;0;0,0409157988765658;0;0;0;0;0;0;0;0,0719461635941546;0;0;0,17407374004079;0;0;0;0,0352666939798414;0;0;0,243294737818218;0;0,170180990896054;0,0957887386507892;0,0654327415775522;0,208184661078204;0;0,0344835093893881;0,0724791050899789;0;0,216284465272223;0;0,164925054810506;0;0;0;0,0479236523407464;0;0;0;0;0,245127895424733;0,173070256778946;0,138709451097062;0,270416164504725;0,101128313782722;0;0,0449012135758903;0,0528180833758344;0,162630313219095;0;0,227729987616597;0,0590039922384096;0,20285321142568;0,125183817204494;0;0;0;0,0431275759879427;0,171188246694498;0;0,0365733253406711;0,0776809895080588;0;0,128738779943702;0;0;0;0;0;0;0;0;0,0801931373073053;0;0;0,0557208727776894;0;0,0721263897478019;0;0,0470399495229987;0;0,0712830473966504;0;0;0,0797887298098441;0,0456851107015514;0;0;0;0;0;0;0;0,0602973862245363;0;0;0;0,0939715667321096;1;0;0;0;0;0;0;0,124763936574377;0;0;0,038312141138418;0;0,116826541742248;0;0;0;0;0;0;0;0
0;0;0;0;0;0,182298222684658;0,0824988077649829;0;0,0409906729227068;0;0;0;0,0493279806801202;0,139605385069461;0;0;0;0;0,0492090816062459;0,168041403033056;0,0761090204250434;0,044121817218426;0,119784130569009;0;0;0;0;0;0;0,102203609058991;0;0,0410870801817643;0,0555923392321857;0;0,109272109236335;0;0;0;0;0,0367015318447398;0;0,0407834359847297;0;0;0;0;0;0;0;0;0;0;0,0513482967210295;0;0;0,217070306494533;0;0,0908150703956386;0;0;0,0921922365648007;0;0;0;0;0;0;0;0,0383787954784368;0;0;0;0,0467168843092709;0;0;0;0;0,240946444411432;0;0;0,0978694891004175;0;0;0,0426520043805565;0;0;0,0878353728102931;0,0989905460161155;0,0580044407807885;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0375173107317517;0;1;0;0,385754674885525;0,10418799729504;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0,09411075466142;0;0;0;0;0;0,0722887069231114;0;0;0;0,0383490995964684;0;0;0,0801682110652885;0;0,0685511404745254;0,0685225459095573;0,101972230659799;0,0708437343664576;0;0,0694531115098555;0,0453875046604328;0;0,0789380587165849;0;0;0;0;0;0,0376403426939654;0;0;0;0;0,0539092409891293;0,0632865428334799;0,0730046213427362;0,0595327731936731;0,0656161588436147;0,0629576976962874;0,0368038851398216;0,0660843160937778;0;0;0;0;0;0,0421542171868769;0,117090790748784;0,0689999563490642;0,0721122920546966;0;0;0,0489495036044286;0;0;0;0;0;0;0;0;0;0;0;0,0642951494486626;0,0965608723477255;0;0;0,128777293369054;0;0,0763070539055416;0,0349747615328924;0,0617031955353162;0;0;0;0,0523044674879918;0,0533160545768469;0,0467187925353173;0;0,0657062178530597;0;0;0;0,0689550884009687;0;0;0;0,0529698978655868;0;0,0892800810705785;0;0;1;0;0;0,0834614518282576;0;0;0;0,0444773772239339;0;0,0408771635714702;0;0;0,0878685973351895;0;0,0634834741512281;0;0;0,0722467946776153;0
0,0380536249223305;0;0;0;0;0,195544757729538;0,228185122534799;0,0485767671762991;0;0;0,067376739511344;0;0,0413227739263324;0,147817710806808;0;0;0,123184400300943;0;0;0,196181438337149;0,117512599202908;0,0701490637014449;0,16205787493376;0;0,062857436886464;0;0,0954558582778712;0;0;0,0654228306736892;0;0;0,0781825571365267;0;0,0821156311302142;0;0;0;0;0,127362645825526;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,194389160835689;0,0549941521948131;0;0;0;0,0585924581922334;0;0;0;0;0;0;0;0,113728714220166;0;0;0;0,0602565060528058;0;0;0;0;0,330861945810327;0;0;0,0834118261971278;0;0;0;0;0;0,0834694158216941;0;0,0453739989181623;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0456093611966663;0;0,385754674885525;0;1;0,109449056990208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0,0516100402566843;0;0;0;0;0,137442430289961;0,147346008583336;0;0,0589417611157653;0;0,0642334951190551;0;0;0;0;0;0;0;0;0,164984983104777;0;0,0479542785910555;0,0670282792004715;0;0;0;0;0;0;0;0;0;0;0;0,0744997911577296;0;0;0;0;0,120278534676931;0,061213847676102;0,0429760796496123;0;0;0;0;0;0;0;0;0;0;0,0327561041559381;0;0;0,124528890281908;0;0;0;0;0;0;0;0;0;0;0;0;0,13996780751117;0;0;0;0,0498406129111113;0,108125929343675;0;0;0,0673515020875212;0,121390871621877;0;0;0,0652377096361138;0;0;0;0,050297492805185;0;0,133492244380581;0,132953697473854;0,048482443884806;0;0;0;0;0;0;0;0;0,0436550941764284;0;0;0;0;0;0;0;0,10418799729504;0;0,109449056990208;1;0,0982612163283684;0;0;0;0;0;0;0;0,113960669707396;0,0526653048643847;0,0413896200746517;0;0;0;0;0
0;0,11271681977784;0,173821818482633;0,134592871725064;0;0;0;0,0523854645955886;0;0;0;0;0,124582897139827;0;0;0;0;0;0,091721691221197;0;0;0;0,114851629395616;0,148687864373941;0;0,0817199628134547;0,0846707938209303;0,071641524108793;0,111601201969449;0;0,13751489415389;0;0,037405169223201;0;0;0;0,0662242089907629;0;0;0;0,0923710052104149;0,0521542045680236;0;0;0;0;0,11626360708533;0,177987338582389;0,262564117959579;0;0,0873358636478687;0,179843483447795;0,194451634399614;0,168523084368502;0;0;0;0;0;0;0;0,209386482468495;0,158025700188998;0;0;0,242322662486291;0;0;0;0;0;0,174166251548112;0;0;0;0;0,0904785219520552;0,18759051106916;0,182045999281626;0,15477797475254;0,186058976719748;0,23625751676775;0,222917944677635;0;0,229635845047617;0,264462387905216;0;0;0,0342585115853413;0;0;0,0838831010688708;0,1559474700092;0,258428844568565;0,0367517179118957;0,0591676831274101;0;0,243606543247855;0;0;0,142908119400397;0,179782391567649;0;0,121748883837158;0;0;0,0834614518282576;0;0,0982612163283684;1;0;0;0;0,18839752620775;0,0599853452441492;0,0942222891670526;0;0,122936846268;0,459011382474623;0,160981241386313;0,245237171935074;0;0;0,315470095081903;0
0;0,250660377980769;0,160495926013066;0,140227148669178;0;0;0;0,0722276215397937;0;0;0,0551684541696313;0;0;0;0,0328398485760297;0;0;0;0,118098751919865;0;0;0;0,0579051376590641;0,235918175233946;0;0;0,0452485001308022;0,105430647576531;0,0776674570607006;0;0,138679890213946;0,0584811107324496;0;0,0404818684827284;0,0584072611734442;0,128980103533877;0,0336659034181641;0;0;0;0,203349844850505;0;0;0;0;0;0,14034914182189;0,221702141465514;0,139891368014977;0;0,0616085996171945;0,236746852203759;0,208534535584193;0,17402378794209;0;0;0;0;0,0799902821675864;0;0,035772802994444;0,146867789398295;0,177799826836003;0,120829793205916;0;0,367486249378654;0;0;0;0,142276375069549;0;0,0859064552047072;0;0;0;0;0;0,147118423639509;0,284944067657728;0,209225182735846;0,233913599287983;0,218544497531481;0,0796132533904201;0;0,14294803574657;0,0686373662945544;0;0;0,12541284418496;0;0,106410550710446;0,0910940806567392;0,0651259855423392;0,193805624233454;0,1737969007137;0,0850051301768414;0;0,266993197260551;0,0563777466153951;0;0;0,0991448830903368;0,0482150874805199;0,102432268309273;0;0;0;0;0;0;1;0;0;0,30409734180767;0;0,274227241379597;0;0,0584796652423301;0,151184710529267;0,282974172588452;0,199252609884013;0;0;0,352948808873989;0,435204226934488
0;0;0,0539419539326479;0,0531525960367034;0,0986080229500191;0;0;0,0454993047743599;0,0393856471506449;0;0;0;0;0;0;0,0456529072167516;0,0687090098389347;0;0;0;0;0;0,072942553110031;0;0;0,128364500631342;0;0,055985321631495;0;0;0,0750006278803584;0;0;0,0529418094911094;0,0780925622919374;0,149182785245778;0,03812029394671;0,0614526970121726;0;0;0;0,066089057194146;0;0;0,0540502209160942;0;0,0781537415168746;0;0;0,13223284260527;0;0;0;0;0;0;0,194401425990449;0;0,180632360670552;0;0;0;0;0;0,121775987273421;0;0;0;0;0;0;0;0;0,036189181929015;0;0;0;0;0;0;0;0;0;0;0;0,0736980620577736;0;0,0355550651617793;0;0;0;0;0;0;0;0;0;0;0;0,0702361090153577;0;0;0;0;0,124763936574377;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0,10902827704915;0;0;0,108253193799431;0;0;0;0;0,0746339208007374;0;0,1495240990018;0;0;0,0615106088044731;0;0,0645295652312751;0,158104621230322;0;0;0,0691504841962774;0;0;0;0;0,13605982902337;0;0;0,0432036639192712;0;0,0633133539010651;0;0;0;0,152745784632899;0;0;0,11116564099805;0;0;0;0;0;0;0;0;0;0;0;0;0;0,135228790658105;0;0,0706683000397878;0;0;0;0;0;0;0;0;0;0;0;0;0,0592815466448259;0,0435262984032136;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,118373926187046;0;0;0;0;0;0;0;0;0,0502115295217649;0;0;0,0612376904761827;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0,175903647638637;0;0;0;0;0;0;0;0
