x;;
 Phalacroma-Euglena ;;
 Prasinophyceae-Euglena ;;
 Eutreptia-Euglena ;;
 Amphora-Euglena ;HAPTOBENT;
 Cocconeis-Euglena ;;
 Asteromphalus-Euglena ;;
 Pronoctiluca-Euglena ;PL;
 Corythodinium-Euglena ;;
 Hermesinum-Euglena ;;
 Eutreptiaceae-Cylindrotheca ;;
 Eutreptia-Cylindrotheca ;;
 Eutreptiaceae-Lingulodinium ;;PL
 Eutreptia-Actinocyclus ;;PL
 Eutreptiaceae-Gymnodiniales ;;
 Eutreptia-Gymnodiniales ;;
 Eutreptiaceae-Azadinium ;;
 Eutreptiaceae-Proboscia ;;
 Eutreptia-Proboscia ;;
 Eutreptia-Dinobryon ;;PL
 Eutreptia-Oxytoxum ;;
 Eutreptia-Archaeperidinium ;;
 Eutreptia-Phalacroma ;;
 Entomoneis-Eutreptiaceae ;;
 Pronoctiluca-Eutreptiaceae ;;PL
 Lioloma-Eutreptiaceae ;;
 Eutreptia-Ebria ;;PL
 Eutreptia-Prasinophyceae ;;
 Goniodoma-Eutreptia ;;
 Asteromphalus-Eutreptia ;;
 Oscillatoria-Eutreptia ;;
 Pronoctiluca-Eutreptia ;;
 Hermesinum-Eutreptia ;;
