"v1_classe";"v2_classe";"Sign";"Number";"Frequence";"link_genus";"region"
"Bacillariophyceae";"Cyanophyceae";"-";1;0,000464684014869888;"Bacillariophyceae-Cyanophyceae";"1-Mediterranean sea"
"Chlorophyta";"Ebriophyceae";"-";1;0,000464684014869888;"Chlorophyta-Ebriophyceae";"1-Mediterranean sea"
"Chrysophyceae";"Cryptophyceae";"+";1;0,000464684014869888;"Chrysophyceae-Cryptophyceae";"1-Mediterranean sea"
"Chrysophyceae";"Cyanophyceae";"+";1;0,000464684014869888;"Chrysophyceae-Cyanophyceae";"1-Mediterranean sea"
"Chrysophyceae";"Dictyochophyceae";"+";1;0,000464684014869888;"Chrysophyceae-Dictyochophyceae";"1-Mediterranean sea"
"Chrysophyceae";"Haptophyta";"+";1;0,000464684014869888;"Chrysophyceae-Haptophyta";"1-Mediterranean sea"
"Cryptophyceae";"Cyanophyceae";"+";1;0,000464684014869888;"Cryptophyceae-Cyanophyceae";"1-Mediterranean sea"
"Cryptophyceae";"Dictyochophyceae";"+";1;0,000464684014869888;"Cryptophyceae-Dictyochophyceae";"1-Mediterranean sea"
"Cryptophyceae";"Euglenozoa";"-";1;0,000464684014869888;"Cryptophyceae-Euglenozoa";"1-Mediterranean sea"
"Cryptophyceae";"Haptophyta";"+";1;0,000464684014869888;"Cryptophyceae-Haptophyta";"1-Mediterranean sea"
"Cyanophyceae";"Dictyochophyceae";"+";1;0,000464684014869888;"Cyanophyceae-Dictyochophyceae";"1-Mediterranean sea"
"Cyanophyceae";"Haptophyta";"+";1;0,000464684014869888;"Cyanophyceae-Haptophyta";"1-Mediterranean sea"
"Dictyochophyceae";"Ebriophyceae";"-";1;0,000464684014869888;"Dictyochophyceae-Ebriophyceae";"1-Mediterranean sea"
"Dictyochophyceae";"Euglenozoa";"+";1;0,000464684014869888;"Dictyochophyceae-Euglenozoa";"1-Mediterranean sea"
"Dictyochophyceae";"Euglenozoa";"-";1;0,000464684014869888;"Dictyochophyceae-Euglenozoa";"1-Mediterranean sea"
"Dictyochophyceae";"Haptophyta";"+";1;0,000464684014869888;"Dictyochophyceae-Haptophyta";"1-Mediterranean sea"
"Ebriophyceae";"Ebriophyceae";"+";1;0,000464684014869888;"Ebriophyceae-Ebriophyceae";"1-Mediterranean sea"
"Euglenozoa";"Euglenozoa";"+";1;0,000464684014869888;"Euglenozoa-Euglenozoa";"1-Mediterranean sea"
