"Code_point_Libelle";"Date";"N_noeuds";"N_liens";"D_liens";"C_tance";"Avg_p_length";"Adhes";"Mod";"meanN_liens";"Assort";"Diss";"Trans";"meanN_voisins";"Nat_connect";"N_clust";"N_bac";"P_bac";"N_dino";"P_dino";"N_autres";"P_autres";"N_BacBac";"P_BacBac";"N_BacDino";"P_BacDino";"N_DinoDino";"P_DinoDino";"N_AAutres";"P_AAutres";"PP_BacBac";"PP_BacDino";"PP_DinoDino";"PP_AAutres"
"At so";2007-03-07;12;44;3,66666666666667;0,666666666666667;0,248327512931322;2;0,0991735537190083;7,33333333333333;0,0418338108882525;0,757069034543388;0,805825242718447;2,86363636363636;0,14744380160405;2;8;0,666666666666667;2;0,166666666666667;2;0,166666666666667;18;0,409090909090909;8;0,181818181818182;1;0,0227272727272727;17;0,386363636363636;0,393112590122776;0,136275796170217;0,0311815118306837;0,439430101876323
"At so";2007-04-16;15;80;5,33333333333333;0,761904761904762;0,173402099394536;3;0,044921875;10,6666666666667;-0,0205294682456169;0,775760993222989;0,845686512758202;2,4625;0,134823375838905;2;10;0,666666666666667;1;0,0666666666666667;4;0,266666666666667;38;0,475;7;0,0875;0;0;35;0,4375;0,485680209825551;0,0516271693547227;0;0,462692620819727
"At so";2007-05-02;10;34;3,4;0,755555555555556;0,199794517379197;4;0,0583910034602077;6,8;-0,162770562770563;0,762530590771426;0,828571428571429;2,23529411764706;0,179115478677149;2;6;0,6;0;0;4;0,4;11;0,323529411764706;0;0;0;0;23;0,676470588235294;0,333748264922264;0;0;0,666251735077736
"At so";2007-06-05;16;81;5,0625;0,675;0,165108351429216;4;0,0898491083676269;10,125;-0,089726736217944;0,796404600798426;0,777085927770859;2,75308641975309;0,113767696986995;2;6;0,375;6;0,375;4;0,25;7;0,0864197530864197;27;0,333333333333333;13;0,160493827160494;34;0,419753086419753;0,115862758056436;0,316619367814683;0,153787134138114;0,413730739990768
"At so";2007-06-19;26;236;9,07692307692308;0,726153846153846;0,150607149538951;7;0,0834530307382935;18,1538461538462;-0,0515238970802148;0,803998240357081;0,803470919324578;2,44491525423729;0,0996166804503282;2;15;0,576923076923077;5;0,192307692307692;6;0,230769230769231;74;0,313559322033898;63;0,266949152542373;10;0,0423728813559322;89;0,377118644067797;0,310539044881248;0,265565858645388;0,0590304077742775;0,364864688699087
"At so";2007-07-13;21;134;6,38095238095238;0,638095238095238;0,161926932691909;6;0,0679717086210737;12,7619047619048;0,00639472389731777;0,801358124619678;0,757469244288225;2,82089552238806;0,094667877868055;3;10;0,476190476190476;6;0,285714285714286;5;0,238095238095238;28;0,208955223880597;42;0,313432835820896;15;0,111940298507463;49;0,365671641791045;0,249916684426866;0,29834786027235;0,128430230778579;0,323305224522205
"At so";2007-07-30;20;122;6,1;0,642105263157895;0,162117704666157;6;0,0624832034399355;12,2;-0,090141793854057;0,811821528164726;0,754515050167224;2,68852459016393;0,0925957329526311;3;9;0,45;7;0,35;4;0,2;21;0,172131147540984;38;0,311475409836066;20;0,163934426229508;43;0,352459016393443;0,177587532415488;0,352459596373237;0,192210839348614;0,277742031862662
"At so";2007-08-13;26;249;9,57692307692308;0,766153846153846;0,14213661985219;11;0,0775068144062193;19,1538461538462;-0,100280586584784;0,807821208701714;0,836075949367089;2,21686746987952;0,102056803950774;2;12;0,461538461538462;9;0,346153846153846;5;0,192307692307692;48;0,192771084337349;85;0,34136546184739;33;0,132530120481928;83;0,333333333333333;0,20347707011258;0,342580245040441;0,145824999811882;0,308117685035098
"At so";2007-08-28;33;355;10,7575757575758;0,672348484848485;0,14351142281027;4;0,105153739337433;21,5151515151515;-0,0118959650884048;0,818819841384767;0,786709265175719;2,66197183098592;0,0842148586075803;2;18;0,545454545454545;9;0,272727272727273;6;0,181818181818182;101;0,284507042253521;109;0,307042253521127;33;0,0929577464788732;112;0,315492957746479;0,283155596092815;0,315911615749468;0,108492021318961;0,292440766838756
"At so";2007-09-10;29;302;10,4137931034483;0,74384236453202;0,140311535129774;11;0,0793331432831894;20,8275862068966;-0,0684792931967848;0,815483018063602;0,816141356255969;2,29801324503311;0,0943133492815932;2;17;0,586206896551724;8;0,275862068965517;4;0,137931034482759;95;0,314569536423841;106;0,350993377483444;27;0,0894039735099338;74;0,245033112582781;0,306402519646855;0,337059927257512;0,101562859824405;0,254974693271228
"At so";2007-10-12;27;242;8,96296296296296;0,689458689458689;0,146403280628069;10;0,0829092958131275;17,9259259259259;-0,138340621388226;0,812858085735483;0,772529236413667;2,52066115702479;0,0882459090619119;3;13;0,481481481481481;7;0,259259259259259;7;0,259259259259259;56;0,231404958677686;64;0,264462809917355;21;0,0867768595041322;101;0,417355371900826;0,234500570761824;0,254455735419978;0,100733050187099;0,410310643631098
"At so";2007-10-26;23;194;8,43478260869565;0,766798418972332;0,140446151463114;10;0,0492214900627059;16,8695652173913;-0,0899011496389982;0,817139728143625;0,819288389513109;2,24226804123711;0,0937660349850163;3;13;0,565217391304348;5;0,217391304347826;5;0,217391304347826;64;0,329896907216495;46;0,237113402061856;10;0,0515463917525773;74;0,381443298969072;0,339600384051624;0,216148443919589;0,0535796257433891;0,390671546285398
"At so";2007-11-12;28;259;9,25;0,685185185185185;0,137179997590535;8;0,0992382343733695;18,5;-0,08069512718459;0,817154637611851;0,766889074228524;2,58687258687259;0,0867290312554923;3;17;0,607142857142857;5;0,178571428571429;6;0,214285714285714;93;0,359073359073359;59;0,227799227799228;10;0,0386100386100386;97;0,374517374517374;0,351145918775705;0,230824424836684;0,0576585933367357;0,360371063050875
"At so";2007-11-26;25;231;9,24;0,77;0,148596065463014;9;0,050589381758213;18,48;-0,0794814871520104;0,802511525644784;0,830363506771205;2,30735930735931;0,105315610562693;3;16;0,64;5;0,2;4;0,16;93;0,402597402597403;63;0,272727272727273;10;0,0432900432900433;65;0,281385281385281;0,381874559658984;0,255686024747531;0,0598541161254773;0,302585299468007
"At so";2007-12-17;20;133;6,65;0,7;0,143472599594338;4;0,0725874837469614;13,3;-0,0921034624332829;0,826319576458588;0,782309017805859;2,45112781954887;0,0881910801380228;2;12;0,6;4;0,2;4;0,2;45;0,338345864661654;33;0,24812030075188;6;0,0451127819548872;49;0,368421052631579;0,315592976784124;0,216151065310466;0,0657180797135698;0,40253787819184
"At so";2008-01-28;27;222;8,22222222222222;0,632478632478632;0,131551934244727;8;0,097790357925493;16,4444444444444;0,00114819759680081;0,830297222324151;0,731085526315789;2,82432432432432;0,0726582733833653;3;16;0,592592592592593;5;0,185185185185185;6;0,222222222222222;88;0,396396396396396;43;0,193693693693694;8;0,036036036036036;83;0,373873873873874;0,384287901298586;0,190152307835292;0,0524674783759488;0,373092312490173
"At so";2008-02-08;20;129;6,45;0,678947368421053;0,138118138206849;6;0,0673336938885884;12,9;-0,0574392776371829;0,816323383725924;0,749538461538461;2,55038759689922;0,0923356046018591;3;12;0,6;3;0,15;5;0,25;50;0,387596899224806;22;0,170542635658915;3;0,0232558139534884;54;0,418604651162791;0,389136057197594;0,15585143446124;0,0356852346838114;0,419327273657355
"At so";2008-03-27;25;189;7,56;0,63;0,139341773000552;7;0,0895691609977325;15,12;0,0110508185226968;0,815914398847737;0,733496332518337;2,87830687830688;0,0802879503616911;3;17;0,68;3;0,12;5;0,2;91;0,481481481481481;34;0,17989417989418;3;0,0158730158730159;61;0,322751322751323;0,484946650963641;0,161578862384679;0,0235090820059667;0,329965404645713
"At so";2008-04-23;31;315;10,1612903225806;0,67741935483871;0,139196442477015;9;0,0661476442428823;20,3225806451613;0,00889472659078973;0,814617140830455;0,769911504424779;2,66031746031746;0,0881625516657243;3;21;0,67741935483871;7;0,225806451612903;3;0,0967741935483871;135;0,428571428571429;99;0,314285714285714;18;0,0571428571428571;63;0,2;0,400570027054716;0,286007962892288;0,0633389483397144;0,250083061713281
"At so";2008-05-07;24;204;8,5;0,739130434782609;0,157297084723665;5;0,0512423106497501;17;-0,0455667561186039;0,785856351375498;0,807658579362759;2,52941176470588;0,111398956716437;3;15;0,625;5;0,208333333333333;4;0,166666666666667;84;0,411764705882353;53;0,259803921568627;9;0,0441176470588235;58;0,284313725490196;0,412304189040942;0,242246631677819;0,0525205668171788;0,292928612464059
"At so";2008-05-22;22;179;8,13636363636364;0,774891774891775;0,157839985915799;6;0,0411660060547424;16,2727272727273;-0,0775637787559789;0,783611110375884;0,837062937062937;2,29050279329609;0,119571367724765;3;14;0,636363636363636;6;0,272727272727273;2;0,0909090909090909;69;0,385474860335196;65;0,363128491620112;14;0,0782122905027933;31;0,173184357541899;0,373828746804858;0,34820106459837;0,0959831889741327;0,18198699962264
"At so";2008-06-18;27;247;9,14814814814815;0,703703703703704;0,152591917162396;11;0,0909619892147061;18,2962962962963;0,00319282902499718;0,79626550965625;0,795580110497238;2,54655870445344;0,0996370817068426;2;14;0,518518518518518;10;0,37037037037037;3;0,111111111111111;63;0,255060728744939;93;0,376518218623482;38;0,153846153846154;53;0,214574898785425;0,259133641713769;0,345742003040969;0,160790530983831;0,234333824261431
"At so";2008-08-22;25;182;7,28;0,606666666666667;0,142783959964618;5;0,131339814032122;14,56;-0,0622828425129433;0,823723817068645;0,718596755941154;2,97802197802198;0,0750512986505376;3;14;0,56;4;0,16;7;0,28;62;0,340659340659341;31;0,17032967032967;5;0,0274725274725275;84;0,461538461538462;0,333739917974039;0,212677864141367;0,0446423832117614;0,408939834672833
"At so";2008-09-15;21;130;6,19047619047619;0,619047619047619;0,14613588770545;6;0,153579881656805;12,3809523809524;-0,0984140175912441;0,804969621300753;0,700701978302489;3,02307692307692;0,0903753127781749;2;12;0,571428571428571;5;0,238095238095238;4;0,19047619047619;41;0,315384615384615;34;0,261538461538462;9;0,0692307692307692;46;0,353846153846154;0,315673329864047;0,264058591882996;0,0828532110750082;0,337414867177949
"At so";2008-10-28;23;173;7,52173913043478;0,683794466403162;0,157608145382137;4;0,0555815429850647;15,0434782608696;0,0310760404974896;0,801070403309112;0,783410138248848;2,6242774566474;0,097810629908486;3;14;0,608695652173913;6;0,260869565217391;3;0,130434782608696;54;0,312138728323699;57;0,329479768786127;15;0,0867052023121387;47;0,271676300578035;0,299459359780122;0,303225821527373;0,109793333186529;0,287521485505976
"At so";2008-11-13;33;347;10,5151515151515;0,65719696969697;0,126183538691513;8;0,0856040661412353;21,030303030303;0,0686268835532157;0,829825635584351;0,746823336521383;2,69164265129683;0,0737654780413797;3;22;0,666666666666667;5;0,151515151515152;6;0,181818181818182;151;0,435158501440922;70;0,201729106628242;8;0,0230547550432277;118;0,340057636887608;0,427886174632717;0,178956728611912;0,0350359995771488;0,358121097178222
"At so";2008-12-17;23;171;7,43478260869565;0,675889328063241;0,148051490460121;5;0,067131767039431;14,8695652173913;0,0597819992808043;0,813130766381279;0,773354355538037;2,58479532163743;0,0883902400953407;3;14;0,608695652173913;4;0,173913043478261;5;0,217391304347826;58;0,339181286549708;40;0,233918128654971;6;0,0350877192982456;67;0,391812865497076;0,35852001656047;0,202661179974873;0,0475065465035217;0,391312256961135
"At so";2009-01-28;20;137;6,85;0,721052631578947;0,146663152240479;8;0,0603654962970856;13,7;-0,0931386616085588;0,806555564485371;0,785753424657534;2,51094890510949;0,0964008786588769;3;16;0,8;1;0,05;3;0,15;85;0,62043795620438;9;0,0656934306569343;0;0;43;0,313868613138686;0,610429691814759;0,0568966182057855;0;0,332673689979455
