"Code_point_Libelle";"Date";"N_Bac";"P_Bac";"N_Dino";"P_Dino";"N_others";"P_others";"N_BacBac_neg";"P_BacBac_neg_tot";"P_BacBac_neg_neg";"N_BacDino_neg";"P_BacDino_neg_tot";"P_BacDino_neg_neg";"N_DinoDino_neg";"P_DinoDino_neg_tot";"P_DinoDino_neg_neg";"N_OtherA_neg";"P_OtherA_neg_tot";"P_OtherA_neg_neg"
"At so";2007-03-07;8;0,666666666666667;2;0,166666666666667;2;0,166666666666667;5;0,0925925925925926;0,5;2;0,037037037037037;0,2;0;0;0;3;0,0555555555555556;0,3
"At so";2007-04-16;10;0,666666666666667;1;0,0666666666666667;4;0,266666666666667;3;0,0357142857142857;0,75;0;0;0;0;0;0;1;0,0119047619047619;0,25
"At so";2007-05-02;6;0,6;0;0;4;0,4;2;0,0555555555555556;1;0;0;0;0;0;0;0;0;0
"At so";2007-06-05;6;0,375;6;0,375;4;0,25;1;0,0116279069767442;0,2;1;0,0116279069767442;0,2;0;0;0;3;0,0348837209302326;0,6
"At so";2007-06-19;15;0,576923076923077;5;0,192307692307692;6;0,230769230769231;10;0,0393700787401575;0,555555555555556;1;0,00393700787401575;0,0555555555555556;0;0;0;7;0,0275590551181102;0,388888888888889
"At so";2007-07-13;10;0,476190476190476;6;0,285714285714286;5;0,238095238095238;8;0,0496894409937888;0,296296296296296;8;0,0496894409937888;0,296296296296296;0;0;0;11;0,0683229813664596;0,407407407407407
"At so";2007-07-30;9;0,45;7;0,35;4;0,2;8;0,0555555555555556;0,363636363636364;10;0,0694444444444444;0,454545454545455;0;0;0;4;0,0277777777777778;0,181818181818182
"At so";2007-08-13;12;0,461538461538462;9;0,346153846153846;5;0,192307692307692;6;0,022140221402214;0,272727272727273;7;0,025830258302583;0,318181818181818;0;0;0;9;0,033210332103321;0,409090909090909
"At so";2007-08-28;18;0,545454545454545;9;0,272727272727273;6;0,181818181818182;14;0,035264483627204;0,333333333333333;16;0,0403022670025189;0,380952380952381;0;0;0;12;0,0302267002518892;0,285714285714286
"At so";2007-09-10;17;0,586206896551724;8;0,275862068965517;4;0,137931034482759;11;0,0337423312883436;0,458333333333333;5;0,0153374233128834;0,208333333333333;0;0;0;8;0,0245398773006135;0,333333333333333
"At so";2007-10-12;13;0,481481481481481;7;0,259259259259259;7;0,259259259259259;8;0,0296296296296296;0,285714285714286;6;0,0222222222222222;0,214285714285714;0;0;0;14;0,0518518518518519;0,5
"At so";2007-10-26;13;0,565217391304348;5;0,217391304347826;5;0,217391304347826;2;0,00975609756097561;0,181818181818182;3;0,0146341463414634;0,272727272727273;0;0;0;6;0,0292682926829268;0,545454545454545
"At so";2007-11-12;17;0,607142857142857;5;0,178571428571429;6;0,214285714285714;12;0,0425531914893617;0,521739130434783;4;0,0141843971631206;0,173913043478261;0;0;0;7;0,024822695035461;0,304347826086957
"At so";2007-11-26;16;0,64;5;0,2;4;0,16;9;0,036;0,473684210526316;3;0,012;0,157894736842105;0;0;0;7;0,028;0,368421052631579
"At so";2007-12-17;12;0,6;4;0,2;4;0,2;3;0,0211267605633803;0,333333333333333;5;0,0352112676056338;0,555555555555556;0;0;0;1;0,00704225352112676;0,111111111111111
"At so";2008-01-28;16;0,592592592592593;5;0,185185185185185;6;0,222222222222222;8;0,0308880308880309;0,216216216216216;18;0,0694980694980695;0,486486486486487;0;0;0;11;0,0424710424710425;0,297297297297297
"At so";2008-02-08;12;0,6;3;0,15;5;0,25;6;0,0410958904109589;0,352941176470588;4;0,0273972602739726;0,235294117647059;0;0;0;7;0,0479452054794521;0,411764705882353
"At so";2008-03-27;17;0,68;3;0,12;5;0,2;12;0,0560747663551402;0,48;4;0,0186915887850467;0,16;0;0;0;9;0,0420560747663551;0,36
"At so";2008-04-23;21;0,67741935483871;7;0,225806451612903;3;0,0967741935483871;23;0,0647887323943662;0,575;10;0,028169014084507;0,25;0;0;0;7;0,0197183098591549;0,175
"At so";2008-05-07;15;0,625;5;0,208333333333333;4;0,166666666666667;10;0,0446428571428571;0,5;5;0,0223214285714286;0,25;0;0;0;5;0,0223214285714286;0,25
"At so";2008-05-22;14;0,636363636363636;6;0,272727272727273;2;0,0909090909090909;9;0,045;0,428571428571429;6;0,03;0,285714285714286;0;0;0;6;0,03;0,285714285714286
"At so";2008-06-18;14;0,518518518518518;10;0,37037037037037;3;0,111111111111111;13;0,0457746478873239;0,351351351351351;18;0,0633802816901408;0,486486486486487;0;0;0;6;0,0211267605633803;0,162162162162162
"At so";2008-08-22;14;0,56;4;0,16;7;0,28;9;0,042654028436019;0,310344827586207;11;0,0521327014218009;0,379310344827586;0;0;0;9;0,042654028436019;0,310344827586207
"At so";2008-09-15;12;0,571428571428571;5;0,238095238095238;4;0,19047619047619;10;0,0645161290322581;0,4;7;0,0451612903225806;0,28;0;0;0;8;0,0516129032258065;0,32
"At so";2008-10-28;14;0,608695652173913;6;0,260869565217391;3;0,130434782608696;9;0,0459183673469388;0,391304347826087;9;0,0459183673469388;0,391304347826087;0;0;0;5;0,0255102040816327;0,217391304347826
"At so";2008-11-13;22;0,666666666666667;5;0,151515151515152;6;0,181818181818182;20;0,0522193211488251;0,555555555555556;9;0,0234986945169713;0,25;1;0,00261096605744125;0,0277777777777778;6;0,0156657963446475;0,166666666666667
"At so";2008-12-17;14;0,608695652173913;4;0,173913043478261;5;0,217391304347826;13;0,0673575129533679;0,590909090909091;5;0,0259067357512953;0,227272727272727;0;0;0;4;0,0207253886010363;0,181818181818182
"At so";2009-01-28;16;0,8;1;0,05;3;0,15;12;0,0774193548387097;0,666666666666667;2;0,0129032258064516;0,111111111111111;0;0;0;4;0,0258064516129032;0,222222222222222
"At so";2009-02-25;17;0,772727272727273;3;0,136363636363636;2;0,0909090909090909;12;0,0625;0,444444444444444;12;0,0625;0,444444444444444;0;0;0;3;0,015625;0,111111111111111
"At so";2009-03-13;18;0,692307692307692;4;0,153846153846154;4;0,153846153846154;11;0,0445344129554656;0,379310344827586;13;0,0526315789473684;0,448275862068966;0;0;0;5;0,0202429149797571;0,172413793103448
"At so";2009-03-23;18;0,620689655172414;7;0,241379310344828;4;0,137931034482759;11;0,0372881355932203;0,282051282051282;20;0,0677966101694915;0,512820512820513;1;0,00338983050847458;0,0256410256410256;7;0,023728813559322;0,179487179487179
"At so";2009-04-06;11;0,55;4;0,2;5;0,25;8;0,054421768707483;0,285714285714286;7;0,0476190476190476;0,25;1;0,00680272108843537;0,0357142857142857;12;0,0816326530612245;0,428571428571429
"At so";2009-04-23;14;0,583333333333333;5;0,208333333333333;5;0,208333333333333;8;0,0384615384615385;0,275862068965517;11;0,0528846153846154;0,379310344827586;1;0,00480769230769231;0,0344827586206897;9;0,0432692307692308;0,310344827586207
"At so";2009-05-13;9;0,5625;2;0,125;5;0,3125;1;0,0106382978723404;0,2;2;0,0212765957446809;0,4;1;0,0106382978723404;0,2;1;0,0106382978723404;0,2
"At so";2009-05-28;19;0,678571428571429;6;0,214285714285714;3;0,107142857142857;16;0,0536912751677852;0,457142857142857;12;0,0402684563758389;0,342857142857143;0;0;0;7;0,023489932885906;0,2
"At so";2009-06-10;16;0,615384615384615;7;0,269230769230769;3;0,115384615384615;12;0,0447761194029851;0,413793103448276;16;0,0597014925373134;0,551724137931034;0;0;0;1;0,00373134328358209;0,0344827586206897
"At so";2009-06-26;20;0,606060606060606;9;0,272727272727273;4;0,121212121212121;22;0,0520094562647754;0,372881355932203;31;0,0732860520094563;0,525423728813559;1;0,00236406619385343;0,0169491525423729;5;0,0118203309692671;0,0847457627118644
"At so";2009-07-22;21;0,65625;6;0,1875;5;0,15625;11;0,0277078085642317;0,289473684210526;20;0,0503778337531486;0,526315789473684;0;0;0;7;0,017632241813602;0,184210526315789
"At so";2009-08-05;15;0,535714285714286;8;0,285714285714286;5;0,178571428571429;8;0,0273972602739726;0,296296296296296;12;0,0410958904109589;0,444444444444444;0;0;0;7;0,023972602739726;0,259259259259259
"At so";2009-08-19;16;0,533333333333333;8;0,266666666666667;6;0,2;12;0,0343839541547278;0,324324324324324;17;0,0487106017191977;0,459459459459459;1;0,00286532951289398;0,027027027027027;7;0,0200573065902579;0,189189189189189
"At so";2009-09-07;22;0,628571428571429;8;0,228571428571429;5;0,142857142857143;28;0,0595744680851064;0,444444444444444;23;0,048936170212766;0,365079365079365;1;0,00212765957446809;0,0158730158730159;11;0,0234042553191489;0,174603174603175
"At so";2009-10-22;18;0,692307692307692;3;0,115384615384615;5;0,192307692307692;19;0,0781893004115226;0,76;1;0,00411522633744856;0,04;0;0;0;5;0,0205761316872428;0,2
"At so";2009-12-01;23;0,71875;6;0,1875;3;0,09375;37;0,0981432360742706;0,528571428571429;25;0,0663129973474801;0,357142857142857;1;0,0026525198938992;0,0142857142857143;7;0,0185676392572944;0,1
"At so";2009-12-15;18;0,75;3;0,125;3;0,125;15;0,075;0,6;6;0,03;0,24;0;0;0;4;0,02;0,16
"At so";2010-01-21;21;0,65625;7;0,21875;4;0,125;25;0,0661375661375661;0,416666666666667;20;0,0529100529100529;0,333333333333333;1;0,00264550264550265;0,0166666666666667;14;0,037037037037037;0,233333333333333
"At so";2010-03-03;17;0,708333333333333;2;0,0833333333333333;5;0,208333333333333;13;0,0619047619047619;0,481481481481481;4;0,019047619047619;0,148148148148148;0;0;0;10;0,0476190476190476;0,37037037037037
"At so";2010-03-16;14;0,736842105263158;2;0,105263157894737;3;0,157894736842105;11;0,0797101449275362;0,611111111111111;2;0,0144927536231884;0,111111111111111;0;0;0;5;0,036231884057971;0,277777777777778
"At so";2010-04-14;15;0,6;5;0,2;5;0,2;11;0,0482456140350877;0,366666666666667;14;0,0614035087719298;0,466666666666667;0;0;0;5;0,0219298245614035;0,166666666666667
"At so";2010-04-28;9;0,6;3;0,2;3;0,2;0;0;NA;0;0;NA;0;0;NA;0;0;NA
"At so";2010-05-12;6;0,461538461538462;4;0,307692307692308;3;0,230769230769231;6;0,09375;0,333333333333333;7;0,109375;0,388888888888889;0;0;0;5;0,078125;0,277777777777778
"At so";2010-05-28;10;0,476190476190476;7;0,333333333333333;4;0,19047619047619;10;0,0558659217877095;0,32258064516129;12;0,0670391061452514;0,387096774193548;1;0,00558659217877095;0,032258064516129;8;0,0446927374301676;0,258064516129032
"At so";2010-06-11;8;0,5;3;0,1875;5;0,3125;2;0,0186915887850467;0,5;0;0;0;0;0;0;2;0,0186915887850467;0,5
"At so";2010-06-25;7;0,411764705882353;6;0,352941176470588;4;0,235294117647059;3;0,0247933884297521;0,333333333333333;3;0,0247933884297521;0,333333333333333;0;0;0;3;0,0247933884297521;0,333333333333333
"At so";2010-07-19;9;0,391304347826087;9;0,391304347826087;5;0,217391304347826;5;0,0248756218905473;0,178571428571429;7;0,0348258706467662;0,25;1;0,00497512437810945;0,0357142857142857;15;0,0746268656716418;0,535714285714286
"At so";2010-08-12;11;0,478260869565217;7;0,304347826086957;5;0,217391304347826;9;0,0407239819004525;0,321428571428571;10;0,0452488687782805;0,357142857142857;1;0,00452488687782805;0,0357142857142857;8;0,0361990950226244;0,285714285714286
"At so";2010-09-07;15;0,6;5;0,2;5;0,2;20;0,0816326530612245;0,425531914893617;12;0,0489795918367347;0,25531914893617;0;0;0;15;0,0612244897959184;0,319148936170213
"At so";2010-10-07;9;0,6;2;0,133333333333333;4;0,266666666666667;1;0,0112359550561798;0,25;2;0,0224719101123595;0,5;0;0;0;1;0,0112359550561798;0,25
"At so";2010-11-24;12;0,705882352941177;2;0,117647058823529;3;0,176470588235294;11;0,104761904761905;0,407407407407407;8;0,0761904761904762;0,296296296296296;0;0;0;8;0,0761904761904762;0,296296296296296
"At so";2010-12-21;14;0,875;0;0;2;0,125;8;0,0824742268041237;0,8;0;0;0;0;0;0;2;0,0206185567010309;0,2
"At so";2011-01-24;15;0,714285714285714;3;0,142857142857143;3;0,142857142857143;9;0,0526315789473684;0,333333333333333;14;0,0818713450292398;0,518518518518518;0;0;0;4;0,0233918128654971;0,148148148148148
