"Code_point_Libelle";"Date";"N_Bac";"P_Bac";"N_Dino";"P_Dino";"N_others";"P_others";"N_BacBac_neg";"P_BacBac_neg_tot";"P_BacBac_neg_neg";"N_BacDino_neg";"P_BacDino_neg_tot";"P_BacDino_neg_neg";"N_DinoDino_neg";"P_DinoDino_neg_tot";"P_DinoDino_neg_neg";"N_OtherA_neg";"P_OtherA_neg_tot";"P_OtherA_neg_neg"
"Géfosse";2007-03-07;13;0,764705882352941;1;0,0588235294117647;3;0,176470588235294;24;0,228571428571429;0,533333333333333;4;0,0380952380952381;0,0888888888888889;0;0;0;17;0,161904761904762;0,377777777777778
"Géfosse";2007-03-27;8;0,666666666666667;2;0,166666666666667;2;0,166666666666667;7;0,137254901960784;0,388888888888889;3;0,0588235294117647;0,166666666666667;0;0;0;8;0,156862745098039;0,444444444444444
"Géfosse";2007-04-19;13;0,928571428571429;1;0,0714285714285714;0;0;18;0,264705882352941;0,782608695652174;5;0,0735294117647059;0,217391304347826;0;0;0;0;0;0
"Géfosse";2007-06-18;17;0,62962962962963;7;0,259259259259259;3;0,111111111111111;26;0,0938628158844765;0,298850574712644;33;0,11913357400722;0,379310344827586;0;0;0;28;0,101083032490975;0,32183908045977
"Géfosse";2007-07-06;12;0,5;9;0,375;3;0,125;9;0,0382978723404255;0,183673469387755;16;0,0680851063829787;0,326530612244898;0;0;0;24;0,102127659574468;0,489795918367347
"Géfosse";2007-08-14;12;0,666666666666667;4;0,222222222222222;2;0,111111111111111;18;0,152542372881356;0,418604651162791;14;0,11864406779661;0,325581395348837;0;0;0;11;0,0932203389830508;0,255813953488372
"Géfosse";2007-10-01;14;0,636363636363636;7;0,318181818181818;1;0,0454545454545455;18;0,100558659217877;0,439024390243902;18;0,100558659217877;0,439024390243902;0;0;0;5;0,0279329608938547;0,121951219512195
"Géfosse";2007-10-30;10;0,714285714285714;2;0,142857142857143;2;0,142857142857143;15;0,2;0,517241379310345;8;0,106666666666667;0,275862068965517;0;0;0;6;0,08;0,206896551724138
"Géfosse";2007-11-16;8;1;0;0;0;0;11;0,44;1;0;0;0;0;0;0;0;0;0
"Géfosse";2007-12-12;7;0,777777777777778;1;0,111111111111111;1;0,111111111111111;8;0,25;0,5;4;0,125;0,25;0;0;0;4;0,125;0,25
"Géfosse";2008-01-16;7;0,7;1;0,1;2;0,2;3;0,0833333333333333;0,1875;5;0,138888888888889;0,3125;0;0;0;8;0,222222222222222;0,5
"Géfosse";2008-02-12;9;0,75;1;0,0833333333333333;2;0,166666666666667;6;0,117647058823529;0,545454545454545;2;0,0392156862745098;0,181818181818182;0;0;0;3;0,0588235294117647;0,272727272727273
"Géfosse";2008-05-07;9;0,75;2;0,166666666666667;1;0,0833333333333333;7;0,12280701754386;0,4375;5;0,087719298245614;0,3125;0;0;0;4;0,0701754385964912;0,25
"Géfosse";2008-06-17;8;0,666666666666667;2;0,166666666666667;2;0,166666666666667;2;0,037037037037037;0,2;3;0,0555555555555556;0,3;0;0;0;5;0,0925925925925926;0,5
"Géfosse";2008-08-20;9;0,692307692307692;4;0,307692307692308;0;0;6;0,0952380952380952;0,461538461538462;7;0,111111111111111;0,538461538461538;0;0;0;0;0;0
"Géfosse";2008-09-03;11;0,578947368421053;5;0,263157894736842;3;0,157894736842105;15;0,106382978723404;0,333333333333333;12;0,0851063829787234;0,266666666666667;0;0;0;18;0,127659574468085;0,4
"Géfosse";2008-10-02;8;0,615384615384615;3;0,230769230769231;2;0,153846153846154;10;0,175438596491228;0,5;6;0,105263157894737;0,3;0;0;0;4;0,0701754385964912;0,2
"Géfosse";2008-11-06;7;0,7;0;0;3;0,3;4;0,125;0,444444444444444;0;0;0;0;0;0;5;0,15625;0,555555555555556
"Géfosse";2008-12-02;7;1;0;0;0;0;7;0,368421052631579;1;0;0;0;0;0;0;0;0;0
"Géfosse";2009-01-13;7;0,777777777777778;1;0,111111111111111;1;0,111111111111111;3;0,107142857142857;0,5;2;0,0714285714285714;0,333333333333333;0;0;0;1;0,0357142857142857;0,166666666666667
"Géfosse";2009-02-05;9;0,9;1;0,1;0;0;6;0,176470588235294;0,666666666666667;3;0,0882352941176471;0,333333333333333;0;0;0;0;0;0
"Géfosse";2009-03-03;6;0,75;1;0,125;1;0,125;3;0,142857142857143;0,428571428571429;2;0,0952380952380952;0,285714285714286;0;0;0;2;0,0952380952380952;0,285714285714286
"Géfosse";2009-03-26;6;0,75;1;0,125;1;0,125;4;0,2;0,4;3;0,15;0,3;0;0;0;3;0,15;0,3
"Géfosse";2009-04-01;11;0,6875;3;0,1875;2;0,125;10;0,111111111111111;0,3125;16;0,177777777777778;0,5;0;0;0;6;0,0666666666666667;0,1875
"Géfosse";2009-04-14;10;0,666666666666667;3;0,2;2;0,133333333333333;4;0,0512820512820513;0,444444444444444;2;0,0256410256410256;0,222222222222222;0;0;0;3;0,0384615384615385;0,333333333333333
"Géfosse";2009-04-28;11;0,611111111111111;4;0,222222222222222;3;0,166666666666667;16;0,140350877192982;0,363636363636364;17;0,149122807017544;0,386363636363636;0;0;0;11;0,0964912280701754;0,25
"Géfosse";2009-05-13;14;0,736842105263158;2;0,105263157894737;3;0,157894736842105;15;0,12;0,441176470588235;10;0,08;0,294117647058824;0;0;0;9;0,072;0,264705882352941
"Géfosse";2009-05-27;9;0,5625;4;0,25;3;0,1875;4;0,0434782608695652;0,166666666666667;9;0,0978260869565217;0,375;0;0;0;11;0,119565217391304;0,458333333333333
"Géfosse";2009-06-23;8;0,571428571428571;6;0,428571428571429;0;0;2;0,0285714285714286;0,666666666666667;1;0,0142857142857143;0,333333333333333;0;0;0;0;0;0
"Géfosse";2009-07-07;7;0,466666666666667;7;0,466666666666667;1;0,0666666666666667;0;0;0;1;0,0104166666666667;0,25;0;0;0;3;0,03125;0,75
"Géfosse";2009-08-07;9;0,692307692307692;2;0,153846153846154;2;0,153846153846154;4;0,0689655172413793;0,4;2;0,0344827586206897;0,2;0;0;0;4;0,0689655172413793;0,4
"Géfosse";2009-08-20;5;0,625;2;0,25;1;0,125;3;0,142857142857143;0,428571428571429;1;0,0476190476190476;0,142857142857143;0;0;0;3;0,142857142857143;0,428571428571429
"Géfosse";2009-09-07;14;0,636363636363636;5;0,227272727272727;3;0,136363636363636;22;0,119565217391304;0,468085106382979;16;0,0869565217391304;0,340425531914894;0;0;0;9;0,0489130434782609;0,191489361702128
"Géfosse";2009-09-23;9;0,642857142857143;5;0,357142857142857;0;0;9;0,121621621621622;0,45;11;0,148648648648649;0,55;0;0;0;0;0;0
"Géfosse";2009-10-09;11;0,647058823529412;4;0,235294117647059;2;0,117647058823529;14;0,123893805309735;0,482758620689655;10;0,0884955752212389;0,344827586206897;0;0;0;5;0,0442477876106195;0,172413793103448
"Géfosse";2009-11-05;10;0,555555555555556;5;0,277777777777778;3;0,166666666666667;11;0,0887096774193548;0,34375;16;0,129032258064516;0,5;0;0;0;5;0,0403225806451613;0,15625
"Géfosse";2009-12-08;9;0,642857142857143;4;0,285714285714286;1;0,0714285714285714;13;0,178082191780822;0,40625;16;0,219178082191781;0,5;0;0;0;3;0,0410958904109589;0,09375
